row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Số được khấu trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Số được khấu trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,254.361.769,-,-,254.361.769,254361769.0,,,254361769.0
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.519.304.307,-,-,11.519.304.307,11519304307.0,,,11519304307.0
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.773.666.076,-,-,11.773.666.076,11773666076.0,,,11773666076.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,,,,
,,,VND,VND,VND,VND,,,,
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,143.210.202.838,143.210.202.838,-,,143210202838.0,143210202838.0,
"Thuế xuất khẩu, nhập khẩu","b. Các khoản phải nộp > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,249.103.467,249.103.467,-,,249103467.0,249103467.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,803.189.091,1.965.498.726,2.686.255.367,82.432.450,803189091.0,1965498726.0,2686255367.0,82432450.0
Các loại thuế khác,b. Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,337.683.396,302.683.396,35.000.000,,337683396.0,302683396.0,35000000.0
,,,803.189.091,145.762.488.427,146.448.245.068,117.432.450,803189091.0,145762488427.0,146448245068.0,117432450.0
