row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,22,2.312.065.348.262,2.586.833.679.211,,1.0,22.0,2312065348262.0,2586833679211.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,2.312.065.348.262,2.586.833.679.211,,10.0,,2312065348262.0,2586833679211.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,23,2.286.565.452.879,2.558.618.023.386,,11.0,23.0,2286565452879.0,2558618023386.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,25.499.895.383,28.215.655.825,,20.0,,25499895383.0,28215655825.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,24,1.456.876.578.369,1.364.118.253.220,,21.0,24.0,1456876578369.0,1364118253220.0
6.,6.,6.,Chi phí tài chính,22,25,182.183.543.264,442.236.889.414,,22.0,25.0,182183543264.0,442236889414.0
,,,- Trong đó: Chi phí lãi vay và chi phí phát hành trái phiếu,23,,171.236.022.854,240.183.868.361,,23.0,,171236022854.0,240183868361.0
7.,7.,7.,Chi phí bán hàng,25,26,7.124.166.717,7.276.952.072,,25.0,26.0,7124166717.0,7276952072.0
8.,8.,8.,Chi phí quản lý doanh nghiệp,26,26,38.978.413.805,30.273.216.354,,26.0,26.0,38978413805.0,30273216354.0
9.,9.,9.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.254.090.349.966,912.546.851.205,,30.0,,1254090349966.0,912546851205.0
10.,10.,10.,Thu nhập khác,31,,481,-,,31.0,,481.0,
11.,11.,11.,Chi phí khác,32,,35.193.866,-,,32.0,,35193866.0,
12.,12.,12.,(Lỗ)/lợi nhuận khác (40=31-32),40,,(35.193.385),-,,40.0,,-35193385.0,
13.,13.,13.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.254.055.156.581,912.546.851.205,,50.0,,1254055156581.0,912546851205.0
14.,14.,14.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,28,-,-,,51.0,28.0,,
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,1.254.055.156.581,912.546.851.205,,60.0,,1254055156581.0,912546851205.0
