row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,4.649.937.895.744,(33.615.002.786),,5.798.868.150.428,(128.085.901.810),,4649937895744.0,-33615002786.0,,5798868150428.0,-128085901810.0,
Công ty Cổ phần Dây cấp điện Việt Nam (i),Công ty Cổ phần Dây cấp điện Việt Nam (i),Công ty Cổ phần Dây cấp điện Việt Nam (i),1.613.825.662.937,-,3.781.900.806.200,1.610.855.369.317,-,2.769.431.750.000,1613825662937.0,,3781900806200.0,1610855369317.0,,2769431750000.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,987.388.541.520,-,(iii),893.009.089.824,-,1.139.813.424.250,987388541520.0,,,893009089824.0,,1139813424250.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội (ii),Công ty Cổ phần Chế tạo Điện cơ Hà Nội (ii),Công ty Cổ phần Chế tạo Điện cơ Hà Nội (ii),332.061.707.611,-,540.265.471.200,332.061.707.611,-,768.839.324.400,332061707611.0,,540265471200.0,332061707611.0,,768839324400.0
Công ty Cổ phần Thiết bị đo điện EMIC,Công ty Cổ phần Thiết bị đo điện EMIC,Công ty Cổ phần Thiết bị đo điện EMIC,112.485.000.000,-,(iii),112.485.000.000,-,(iii),112485000000.0,,,112485000000.0,,
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,355.644.952.503,-,(iii),405.644.952.503,-,(iii),355644952503.0,,,405644952503.0,,
Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,882.715.444.864,-,(iii),882.715.444.864,-,(iii),882715444864.0,,,882715444864.0,,
Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,-,-,-,1.270.350.000.000,(127.734.593.349),(iii),,,,1270350000000.0,-127734593349.0,
Công ty Cổ phần Sản xuất Máy biến ápTruyền tài MEE,Công ty Cổ phần Sản xuất Máy biến ápTruyền tài MEE,Công ty Cổ phần Sản xuất Máy biến ápTruyền tài MEE,345.671.586.309,(29.891.037.733),(iii),286.646.586.309,-,(iii),345671586309.0,-29891037733.0,,286646586309.0,,
Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,20.145.000.000,(3.723.965.053),(iii),5.100.000.000,(351.308.461),(iii),20145000000.0,-3723965053.0,,5100000000.0,-351308461.0,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,1.238.396.869.099,(14.632.503.555),-,1.111.361.869.099,-,-,1238396869099.0,-14632503555.0,,1111361869099.0,,
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,1.111.361.869.099,-,(iii),1.111.361.869.099,-,(iii),1111361869099.0,,,1111361869099.0,,
Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,127.035.000.000,(14.632.503.555),(iii),-,-,-,127035000000.0,-14632503555.0,,,,
,,,5.888.334.764.843,(48.247.506.341),-,6.910.230.019.527,(128.085.901.810),-,5888334764843.0,-48247506341.0,,6910230019527.0,-128085901810.0,
