row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Selling expenses in the year,Selling expenses in the year,Selling expenses in the year,Selling expenses in the year,Selling expenses in the year,,
Transportation expenses,Transportation expenses,Transportation expenses,"1,214,982,424,607","1,330,842,533,587",,
Marketing and advertising expenses,Marketing and advertising expenses,Marketing and advertising expenses,"399,694,572,768","263,099,705,292",,
Others,Others,Others,"116,350,702,302","100,434,610,293",,
,,,"1,731,027,699,677","1,694,376,849,172",,
General and administration expenses in the year,General and administration expenses in the year,General and administration expenses in the year,General and administration expenses in the year,General and administration expenses in the year,,
(Reversal)/Provision of doubtful debts,(Reversal)/Provision of doubtful debts,(Reversal)/Provision of doubtful debts,"(460,621,920,193)","1,904,723,836,586",,
Trademark fee,Trademark fee,Trademark fee,"137,947,027,072","125,220,481,471",,
Staff costs,Staff costs,Staff costs,"235,531,747,958","192,890,540,127",,
Social welfare expenses,Social welfare expenses,Social welfare expenses,"372,245,250,988","182,392,476,107",,
Outsourced expenses,Outsourced expenses,Outsourced expenses,"191,012,765,240","203,978,327,397",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"25,936,753,735","38,242,499,916",,
Others,Others,Others,"463,646,585,295","229,676,387,660",,
,,,"965,698,210,095","2,877,124,549,264",,
