row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Cost of purchasing gas from gasfield owners,Cost of purchasing gas from gasfield owners,Cost of purchasing gas from gasfield owners,"31,418,577,730,265","29,629,066,720,087",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"2,663,256,676,453","2,635,847,031,782",,
Staff costs,Staff costs,Staff costs,"1,236,767,521,521","1,053,570,082,099",,
Transportation expenses,Transportation expenses,Transportation expenses,"1,219,637,970,581","1,340,911,433,741",,
Marketing and advertising expenses,Marketing and advertising expenses,Marketing and advertising expenses,"399,786,172,768","263,099,705,292",,
Social welfare expenses,Social welfare expenses,Social welfare expenses,"372,663,250,988","182,410,116,107",,
Provision for decommissioning gas projects,Provision for decommissioning gas projects,Provision for decommissioning gas projects,"153,921,088,940","159,816,977,103",,
Trade mark fee,Trade mark fee,Trade mark fee,"137,947,027,072","125,220,481,471",,
(Seversal)/Provision for doubtful debts,(Seversal)/Provision for doubtful debts,(Seversal)/Provision for doubtful debts,"(460,621,920,193)","1,913,387,147,452",,
Outsourced expenses,Outsourced expenses,Outsourced expenses,"1,184,990,426,896","967,259,458,914",,
Other expenses,Other expenses,Other expenses,"1,836,812,079,590","1,425,605,918,724",,
,,,"40,163,738,024,881","39,696,195,072,772",,
