row_label_raw,row_label_full,CHÍ TIÊU,MÃ số,Năm nay,Năm trước,numeric__MÃ số,numeric__Năm nay,numeric__Năm trước
"Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,3.727.694.158.384,336.816.393.119,11.0,3727694158384.0,336816393119.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,358.129.775.482,(193.835.066.626),12.0,358129775482.0,-193835066626.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(190.655.357.002),(332.049.874.468),14.0,-190655357002.0,-332049874468.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(2.345.039.849.728),(2.523.894.531.111),15.0,-2345039849728.0,-2523894531111.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(304.652.561.836),(269.089.356.633),17.0,-304652561836.0,-269089356633.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,13.586.834.113.196,8.099.967.686.383,20.0,13586834113196.0,8099967686383.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
"1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(2.120.056.872.893),(1.641.386.946.922),21.0,-2120056872893.0,-1641386946922.0
"2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,629.873.704,1.386.025.703,22.0,629873704.0,1386025703.0
"3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,(43.879.833.161.271),(44.711.890.195.248),23.0,-43879833161271.0,-44711890195248.0
"4. Tiền thu hồi cho vay, bản lại các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 4. Tiền thu hồi cho vay, bản lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bản lại các công cụ nợ của đơn vị khác",24,38.296.009.059.357,52.867.316.706.510,24.0,38296009059357.0,52867316706510.0
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(10.167.798.761),,25.0,-10167798761.0,
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,1.264.424.464.939,1.834.448.191.358,27.0,1264424464939.0,1834448191358.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.448.994.434.925),8.349.873.781.401,30.0,-6448994434925.0,8349873781401.0
