row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Closing balance_3,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Closing balance_3,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,Provision,Recoverable amount (*),Cost,Provision,Recoverable amount (*),,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Short-term receivables from customers,a) Short-term receivables from customers,a) Short-term receivables from customers,"3,248,025,853,055","2,154,117,099,920","1,093,908,753,135","5,332,440,617,147","2,527,111,794,383","2,805,328,822,764",,,,,,
PetroVietnam Power Nhon Trach 2 Joint Stock Company,PetroVietnam Power Nhon Trach 2 Joint Stock Company,PetroVietnam Power Nhon Trach 2 Joint Stock Company,"1,221,675,676,974","1,026,469,995,435","195,205,681,539","2,689,910,679,990","1,220,258,286,199","1,469,652,393,791",,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"351,381,644,757","351,381,644,757",-,"268,172,561,112","268,172,561,112",-,,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,"94,019,328,659","94,019,328,659",-,"92,736,100,660","64,915,270,462","27,820,830,198",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,"186,059,102,435","186,059,102,435",-,"942,349,245,797","471,174,622,899","471,174,622,898",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,"192,516,214,761","192,516,214,761",-,"1,386,652,772,421","415,995,831,726","970,656,940,695",,,,,,
- Less than 6 months,- Less than 6 months,- Less than 6 months,"397,699,386,362","202,493,704,823","195,205,681,539",-,-,-,,,,,,
Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,"745,199,906,195","745,199,906,195",-,"401,217,852,660","198,338,868,754","202,878,983,906",,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,-,-,-,"96,793,979,068","67,755,785,348","29,038,193,720",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,"255,130,547,606","255,130,547,606",-,"196,279,606,644","98,139,803,322","98,139,803,322",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,"181,006,736,067","181,006,736,067",-,"108,144,266,948","32,443,280,084","75,700,986,864",,,,,,
- Less than 6 months,- Less than 6 months,- Less than 6 months,"309,062,622,522","309,062,622,522",-,-,-,-,,,,,,
The Branch of PetroVietnam Power Corporation - PetroVietnam Nhon Trach,The Branch of PetroVietnam Power Corporation - PetroVietnam Nhon Trach,The Branch of PetroVietnam Power Corporation - PetroVietnam Nhon Trach,"1,101,886,084,971","218,498,263,603",-,"164,908,821,665","137,249,137,901","27,659,683,764",,,,,,
Power Company,Power Company,Power Company,,,,,,,,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"118,982,547,915","118,982,547,915",-,"104,516,208,832","104,516,208,832",-,,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,"44,143,047,927","44,143,047,927",-,"14,466,339,083","10,126,437,358","4,339,901,725",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,"16,108,089,827","16,108,089,827",-,"44,143,047,927","22,071,523,964","22,071,523,963",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,"26,595,379,371","26,595,379,371",-,"1,783,225,823","534,967,747","1,248,258,076",,,,,,
- Less than 6 months,- Less than 6 months,- Less than 6 months,"896,057,019,931","12,669,198,563","883,387,821,368",-,-,-,,,,,,
PetroVietnam Engineering Consultancy Joint Stock Company,PetroVietnam Engineering Consultancy Joint Stock Company,PetroVietnam Engineering Consultancy Joint Stock Company,"93,898,840,627","78,583,590,399","15,315,250,228","91,969,194,060","80,380,606,148","11,588,587,912",,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"82,788,131,641","71,863,532,096","10,924,599,545","78,033,841,771","78,033,841,771",-,,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,"6,560,157,043","4,592,109,930","1,968,047,113","4,754,289,870","2,346,764,377","2,407,525,493",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,"4,246,914,524","2,123,457,262","2,123,457,262","6,560,157,043",-,"6,560,157,043",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,"14,970,369","4,491,111","10,479,258","2,620,905,376",-,"2,620,905,376",,,,,,
- Less than 6 months,- Less than 6 months,- Less than 6 months,"288,667,050",-,"288,667,050",-,-,-,,,,,,
