row_label_raw,row_label_full,Bank,Borrowing purpose,Payment period,Interest rate,Collateral asset,numeric__Borrowing purpose,numeric__Payment period,numeric__Interest rate,numeric__Collateral asset
BIDV,BIDV,BIDV,Early repayment of borrowing from Taipei Fubon Commercial Bank,From 28 December 2023 to 29 June 2030,(i),Unsecured,,,,
BIDV,BIDV,BIDV,Early repayment of borrowing from Southeast Asia Commercial Joint Stock Bank,From 02 April 2024 to 02 October 2030,(ii),Unsecured,,,,
Vietcombank,Vietcombank,Vietcombank,"Early repayment of borrowing from Mizuho Bank, Ltd",From 15 December 2023 to 15 June 2027,(i),Unsecured,,,,
Vietcombank,Vietcombank,Vietcombank,Early repayment of borrowing from Southeast Asia Commercial Joint Stock Bank,From 22 April 2024 to 22 April 2030,(ii),Unsecured,,,,
Vietinbank,Vietinbank,Vietinbank,Early repayment of borrowing from Sai Gon – Hanoi Commercial Joint Stock Bank,From 23 April 2024 to 23 August 2028,(ii),Unsecured,,,,
Agribank,Agribank,Agribank,"Early repayment of borrowing from Vietnam Export Import Commercial Joint Stock Bank, Shinhan Bank Vietnam Limited and Bangkok Bank Public Company Limited – Ho Chi Minh Branch",From 23 April 2024 to 23 April 2030,(iii),Unsecured,,,,
