row_label_raw,row_label_full,col_0,Opening balance,Payable during the year,Paid during the year,Closing balance,numeric__Opening balance,numeric__Payable during the year,numeric__Paid during the year,numeric__Closing balance
,,,VND,VND,VND,VND,,,,
Value added tax on domestic goods,Value added tax on domestic goods,Value added tax on domestic goods,"129,541,333,831","1,649,284,586,806","1,758,113,226,941","20,712,693,696",,,,
Value added tax on imported goods,Value added tax on imported goods,Value added tax on imported goods,-,"2,072,880,875,551","2,072,880,875,551",-,,,,
Import and export tax,Import and export tax,Import and export tax,"(18,947,720,153)","436,884,823,286","514,974,568,226","(97,037,465,093)",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"504,226,624,150","2,760,121,406,150","2,345,039,849,728","919,308,180,572",,,,
Personal income tax,Personal income tax,Personal income tax,"28,075,561,704","158,641,517,834","142,958,673,698","43,758,405,840",,,,
Land tax and rental,Land tax and rental,Land tax and rental,-,"54,059,328,270","54,069,815,616","(10,487,346)",,,,
License tax,License tax,License tax,-,"24,462,946","24,462,946",-,,,,
"Other taxes, fees and charges","Other taxes, fees and charges","Other taxes, fees and charges","72,277,375","48,444,283,154","48,509,014,008","7,546,521",,,,
,,,"642,968,076,907","7,180,341,283,997","6,936,570,486,714","886,738,874,190",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
Taxes and other receivables from the State budget,Taxes and other receivables from the State budget,Taxes and other receivables from the State budget,"18,952,720,153",,,"97,151,595,319",,,,
Taxes and amounts payable to the State budget,Taxes and amounts payable to the State budget,Taxes and amounts payable to the State budget,"661,920,797,060",,,"983,890,469,509",,,,
