row_label_raw,row_label_full,col_0,Closing balanceVND,Opening balanceVND,numeric__Closing balanceVND,numeric__Opening balanceVND
Advances to suppliers,Advances to suppliers,Advances to suppliers,"23,378,808,653","280,544,439,039",,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,"7,727,945,478",-,,
Fellow group companies,Fellow group companies,Fellow group companies,Fellow group companies,Fellow group companies,,
PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,"15,650,863,175","280,544,439,039",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"5,004,666,310,307","2,638,777,777,170",,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,"169,525,832,044","176,924,764,595",,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,"918,367,811,228",-,,
PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,"459,901,518,871","490,326,856,675",,
PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,"1,188,073,815","7,258,292,235",,
Associate,Associate,Associate,Associate,Associate,,
Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,-,"182,843,339",,
Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,,
PetroVietnam Power Corporation - Joint Stock Company,PetroVietnam Power Corporation - Joint Stock Company,PetroVietnam Power Corporation - Joint Stock Company,"2,566,155,968,583","1,223,384,508,202",,
In which:,In which:,In which:,In which:,In which:,,
- PetroVietnam Power Corporation - Joint Stock Company,- PetroVietnam Power Corporation - Joint Stock Company,- PetroVietnam Power Corporation - Joint Stock Company,"1,292,388,959,380","118,228,915,854",,
- PetroVietnam Power Nhon Troch 2 Joint Stock Company,- PetroVietnam Power Nhon Troch 2 Joint Stock Company,- PetroVietnam Power Nhon Troch 2 Joint Stock Company,"1,273,767,009,203","1,105,155,592,348",,
PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,"378,143,322,791","398,510,515",,
The Branch of PetroVietnam Fertilizer and Chemicals Corporation - Phu My Fertilizer Plant,The Branch of PetroVietnam Fertilizer and Chemicals Corporation - Phu My Fertilizer Plant,The Branch of PetroVietnam Fertilizer and Chemicals Corporation - Phu My Fertilizer Plant,"370,491,743,542","517,570,446,789",,
PetroVietnam Urban Development Joint Stock Company,PetroVietnam Urban Development Joint Stock Company,PetroVietnam Urban Development Joint Stock Company,"56,212,500,000","56,212,500,000",,
Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,"49,288,319,633","39,089,575,514",,
PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,"33,397,907,390","250,926,814",,
PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,"1,264,280,000","1,391,497,367",,
In which:,In which:,In which:,In which:,In which:,,
- Indachina Petroleum Transportation Joint Stock Company,- Indachina Petroleum Transportation Joint Stock Company,- Indachina Petroleum Transportation Joint Stock Company,"1,264,280,000","1,264,280,000",,
- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,-,"127,217,367",,
Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,"500,000,000","500,000,000",,
PVI Insurance Corporation,PVI Insurance Corporation,PVI Insurance Corporation,"229,032,410",-,,
PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,-,"69,473,052,000",,
PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,-,"55,814,003,125",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,"1,022,101,585,245","445,948,514,436",,
Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,,
PetroVietnam South West Pipeline Operating Company,PetroVietnam South West Pipeline Operating Company,PetroVietnam South West Pipeline Operating Company,"1,022,101,585,245","445,948,514,436",,
