row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Other current payables,a. Other current payables,a. Other current payables,a. Other current payables,a. Other current payables,,
Payables to BCC (*),Payables to BCC (*),Payables to BCC (*),"83,162,714,695","79,613,834,547",,
Short-term deposits received,Short-term deposits received,Short-term deposits received,"1,338,771,789","3,693,399,787",,
Payables to State on the difference in gas prices following offtake contracts,Payables to State on the difference in gas prices following offtake contracts,Payables to State on the difference in gas prices following offtake contracts,,"31,653,059,057",,
Others,Others,Others,"37,643,774,518","28,767,901,894",,
,,,"122,145,261,002","143,728,195,285",,
"In which, Other current payables to significant related parties (Details stated in Note 36)","In which, Other current payables to significant related parties (Details stated in Note 36)","In which, Other current payables to significant related parties (Details stated in Note 36)","32,796,988,191","11,225,931,587",,
b. Other long-term payables,b. Other long-term payables,b. Other long-term payables,b. Other long-term payables,b. Other long-term payables,,
Long-term deposits received,Long-term deposits received,Long-term deposits received,"15,113,055,912","9,544,416,391",,
,,,"15,113,055,912","9,544,416,391",,
"In which, Other long-term payables to significant related parties (Details stated in Note 36)","In which, Other long-term payables to significant related parties (Details stated in Note 36)","In which, Other long-term payables to significant related parties (Details stated in Note 36)","1,803,073,619","1,661,785,125",,
