row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Closing balance_3,Closing balance_4,Opening balance,Opening balance_1,Opening balance_2,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Closing balance_3,numeric__Closing balance_4,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2
,,,Proportion of ownership interest,Cost,Number of shares hold,Quoted price (i),Market value,Proportion of ownership interest,Cost,Market value,,,,,,,,
Subsidiaries,Subsidiaries,Subsidiaries,,VND,,VND,VND,,VND,VND,,,,,,,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,Subsidiaries > PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,50.50%,"837,605,785,000","49,995,000","23,600","1,179,882,000,000",50.50%,"837,605,785,000","1,584,841,500,000",50.5,,,23.6,,50.5,,
CNG Vietnam Joint Stock Company,Subsidiaries > CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,56.00%,"481,819,822,512","19,656,000","24,450","480,589,200,000",56.00%,"481,819,822,512","609,336,000,000",56.0,,,24.45,,56.0,,
PetroVietnam LPG Joint Stock Company,Subsidiaries > PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,51.31%,"206,166,408,900","20,522,499","6,200","127,239,493,800",51.31%,"206,166,408,900","144,196,213,700",51.31,,,6.2,,51.31,,
PetroVietnam Coating Joint Stock Company,Subsidiaries > PetroVietnam Coating Joint Stock Company,PetroVietnam Coating Joint Stock Company,52.94%,"127,902,365,221","11,434,000","35,800","409,337,200,000",52.94%,"127,902,365,221","341,876,600,000",52.94,,,35.8,,52.94,,
Associates,Associates,Associates,,,,,,,,,,,,,,,,
Southern Gas Trading Joint Stock Company,Associates > Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,35.26%,"226,460,000,000","17,631,579","52,900","932,710,529,100",35.26%,"226,460,000,000","578,315,791,200",35.26,,,52.9,,35.26,,
,,,,"1,879,954,381,633",,,"3,129,758,422,900",,"1,879,954,381,633","3,258,566,104,900",,,,,,,,
