row_label_raw,row_label_full,col_0,Proportion of ownership interest,Closing balance,Closing balance_1,Closing balance_2,Closing balance_3,Opening balance,Opening balance_1,numeric__Proportion of ownership interest,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Closing balance_3,numeric__Opening balance,numeric__Opening balance_1
,,,Proportion of ownership interest,Cost,Provision,Net value,Cost,Provision,Net value,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
b1) Investments in subsidiaries,b1) Investments in subsidiaries,b1) Investments in subsidiaries,,"3,756,037,870,394","(1,008,166,422,615)","2,747,871,447,779","3,745,870,071,633","(1,048,614,760,986)","2,697,255,310,647",,,,,,,
PetroVietnam Steel Pipe Joint Stock Company,b1) Investments in subsidiaries > PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,99.99%,"1,858,375,690,000","(1,002,281,848,064)","856,093,841,936","1,858,375,690,000","(1,043,715,188,565)","814,660,501,435 (**)",99.99,,,,,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,b1) Investments in subsidiaries > PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,50.50%,"837,605,785,000",-,"837,605,785,000","837,605,785,000",-,"837,605,785,000 (*)",50.5,,,,,,
CNG Vietnam Joint Stock Company,b1) Investments in subsidiaries > CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,56.00%,"481,819,822,512",-,"481,819,822,512","481,819,822,512",-,"481,819,822,512 (*)",56.0,,,,,,
PetroVietnam LPG Joint Stock Company,b1) Investments in subsidiaries > PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,51.31%,"206,166,408,900",-,"206,166,408,900","206,166,408,900",-,"206,166,408,900 (*)",51.31,,,,,,
Son My LNG Terminal Limited Liability Company,b1) Investments in subsidiaries > Son My LNG Terminal Limited Liability Company,Son My LNG Terminal Limited Liability Company,61.00%,"183,000,000,000","(5,059,068,200)","177,940,931,800","183,000,000,000","(4,095,138,504)","178,904,861,496 (**)",61.0,,,,,,
PetroVietnam Coating Joint Stock Company,b1) Investments in subsidiaries > PetroVietnam Coating Joint Stock Company,PetroVietnam Coating Joint Stock Company,52.94%,"127,902,365,221",-,"127,902,365,221","127,902,365,221",-,"127,902,365,221 (*)",52.94,,,,,,
LNG Vietnam Joint Stock Company,b1) Investments in subsidiaries > LNG Vietnam Joint Stock Company,LNG Vietnam Joint Stock Company,51.00%,"51,000,000,000","(825,506,351)","50,174,493,649","51,000,000,000","(804,433,917)","50,195,566,083 (**)",51.0,,,,,,
PetroVietnam Gas International Trading Company Pte. Ltd.,b1) Investments in subsidiaries > PetroVietnam Gas International Trading Company Pte. Ltd.,PetroVietnam Gas International Trading Company Pte. Ltd.,100%,"10,167,798,761",-,"10,167,798,761",-,-,- (**),1.0,,,,,,
"b2) Equity investments in joint ventures, associates","b2) Equity investments in joint ventures, associates","b2) Equity investments in joint ventures, associates",,"284,460,000,000","(19,475,719,328)","264,984,280,672","284,460,000,000","(23,163,239,753)","261,296,760,247",,,,,,,
Southern Gas Trading Joint Stock Company,"b2) Equity investments in joint ventures, associates > Southern Gas Trading Joint Stock Company",Southern Gas Trading Joint Stock Company,35.26%,"226,460,000,000",-,"226,460,000,000","226,460,000,000",-,"226,460,000,000 (*)",35.26,,,,,,
PVGazprom Natural Gas for Vehicles Company Limited,"b2) Equity investments in joint ventures, associates > PVGazprom Natural Gas for Vehicles Company Limited",PVGazprom Natural Gas for Vehicles Company Limited,29.00%,"58,000,000,000","(19,475,719,328)","38,524,280,672","58,000,000,000","(23,163,239,753)","34,836,760,247 (**)",29.0,,,,,,
,,,,"4,040,497,870,394","(1,027,642,141,943)","3,012,855,728,451","4,030,330,071,633","(1,071,778,000,739)","2,958,552,070,894",,,,,,,
