row_label_raw,row_label_full,col_0,Owners' contributed capital,Share premium,Investment and development fund,Retained earnings accumulated to the prior year end,Retained earnings of the current year,Total,numeric__Owners' contributed capital,numeric__Share premium,numeric__Investment and development fund,numeric__Retained earnings accumulated to the prior year end,numeric__Retained earnings of the current year,numeric__Total
,,,VND,VND,VND,VND,VND,VND,,,,,,
For the year ended 31 December 2024,For the year ended 31 December 2024,For the year ended 31 December 2024,,,,,,,,,,,,
Opening balance,Opening balance,Opening balance,"22,967,398,470,000","246,727,266","23,700,087,492,741","6,073,988,895,882","11,383,054,668,103","64,124,776,253,992",,,,,,
Balance transfer,Balance transfer,Balance transfer,,,,"11,383,054,668,103","(11,383,054,668,103)",,,,,,,
Capital increase during the year,Capital increase during the year,Capital increase during the year,"459,330,720,000",,"(459,330,720,000)",,"10,142,841,846,967","10,142,841,846,967",,,,,,
Profit for the year,Profit for the year,Profit for the year,,,,"(192,221,215,513)",,"(192,221,215,513)",,,,,,
Allocation to bonus and welfare funds,Allocation to bonus and welfare funds,Allocation to bonus and welfare funds,,,,,"(182,985,607,756)","(182,985,607,756)",,,,,,
Provisional allocation to bonus and welfare funds from profit in 2024,Provisional allocation to bonus and welfare funds from profit in 2024,Provisional allocation to bonus and welfare funds from profit in 2024,,,,,,,,,,,,
Allocation to Management bonus fund,Allocation to Management bonus fund,Allocation to Management bonus fund,,,,"(2,664,135,000)",,"(2,664,135,000)",,,,,,
Allocation to Investment and Development fund,Allocation to Investment and Development fund,Allocation to Investment and Development fund,,,"3,467,000,000,000","(3,467,000,000,000)",,,,,,,,
Dividends declared,Dividends declared,Dividends declared,,,,"(13,780,439,082,000)",,"(13,780,439,082,000)",,,,,,
Others,Others,Others,,,,"(19,331,306,861)",,"(19,331,306,861)",,,,,,
Closing balance,Closing balance,Closing balance,"23,426,729,190,000","246,727,266","26,707,756,772,741","(4,612,175,389)","9,959,856,239,211","60,089,976,753,829",,,,,,
For the year ended 31 June 2025,For the year ended 31 June 2025,For the year ended 31 June 2025,,,,,,,,,,,,
Opening balance,Opening balance,Opening balance,"23,426,729,190,000","246,727,266","26,707,756,772,741","(4,612,175,389)","9,959,856,239,211","60,089,976,753,829",,,,,,
Balance transfer,Balance transfer,Balance transfer,,,,"9,959,856,239,211","(9,959,856,239,211)",,,,,,,
Capital increase during the year (i),Capital increase during the year (i),Capital increase during the year (i),"702,768,370,000",,"(702,768,370,000)",,"11,233,714,478,209","11,233,714,478,209",,,,,,
Profit for the year,Profit for the year,Profit for the year,,,,"(192,520,561,010)",,"(192,520,561,010)",,,,,,
Allocation to bonus and welfare funds (ii),Allocation to bonus and welfare funds (ii),Allocation to bonus and welfare funds (ii),,,,"(2,860,092,391)",,"(2,860,092,391)",,,,,,
Allocation to Management bonus fund (ii),Allocation to Management bonus fund (ii),Allocation to Management bonus fund (ii),,,,,"(187,753,084,383)","(187,753,084,383)",,,,,,
Provisional allocation to bonus and welfare funds from profit in 2025 (iii),Provisional allocation to bonus and welfare funds from profit in 2025 (iii),Provisional allocation to bonus and welfare funds from profit in 2025 (iii),,,,,,,,,,,,
Allocation to Investment and Development fund (ii),Allocation to Investment and Development fund (ii),Allocation to Investment and Development fund (ii),,,"3,042,852,554,090","(3,042,852,554,090)",,,,,,,,
Dividends declared (ii),Dividends declared (ii),Dividends declared (ii),,,,"(4,919,613,129,900)",,"(4,919,613,129,900)",,,,,,
Others,Others,Others,,,,"(34,364,112,178)",,"(34,364,112,178)",,,,,,
Closing balance,Closing balance,Closing balance,"24,129,497,560,000","246,727,266","29,047,840,956,831","1,763,033,614,253","11,045,961,393,826","65,986,580,252,176",,,,,,
