row_label_raw,row_label_full,col_0,Years,numeric__Years
Buildings and structures,Buildings and structures,Buildings and structures,03 - 50,
Machinery and equipment,Machinery and equipment,Machinery and equipment,03 - 10,
Motor vehicles and transmission equipment,Motor vehicles and transmission equipment,Motor vehicles and transmission equipment,03 - 13,
Office equipment,Office equipment,Office equipment,03 - 10,
Other tangible fixed assets (including gas constructions),Other tangible fixed assets (including gas constructions),Other tangible fixed assets (including gas constructions),03 - 20,
