row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị có thể thu hồi (*),Số cuối năm > Giá gốc_1,Số đầu năm > Dự phòng,Số đầu năm > Giá trị có thể thu hồi (*),numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị có thể thu hồi (*),numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị có thể thu hồi (*)
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Các khoản phải thu ngắn hạn của khách hàng,a) Các khoản phải thu ngắn hạn của khách hàng,a) Các khoản phải thu ngắn hạn của khách hàng,3.248.025.853.055,2.154.117.099.920,1.093.908.753.135,5.332.440.617.147,2.527.111.794.383,2.805.328.822.764,3248025853055.0,2154117099920.0,1093908753135.0,5332440617147.0,2527111794383.0,2805328822764.0
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,1.221.675.676.974,1.026.469.995.435,195.205.681.539,2.689.910.679.990,1.220.258.286.199,1.469.652.393.791,1221675676974.0,1026469995435.0,195205681539.0,2689910679990.0,1220258286199.0,1469652393791.0
- Từ 3 năm trở lên,- Từ 3 năm trở lên,- Từ 3 năm trở lên,351.381.644.757,351.381.644.757,-,268.172.561.112,268.172.561.112,-,351381644757.0,351381644757.0,,268172561112.0,268172561112.0,
- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,94.019.328.659,94.019.328.659,-,92.736.100.660,64.915.270.462,27.820.830.198,94019328659.0,94019328659.0,,92736100660.0,64915270462.0,27820830198.0
- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,186.059.102.435,186.059.102.435,-,942.349.245.797,471.174.622.899,471.174.622.898,186059102435.0,186059102435.0,,942349245797.0,471174622899.0,471174622898.0
- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,192.516.214.761,192.516.214.761,-,1.386.652.772.421,415.995.831.726,970.656.940.695,192516214761.0,192516214761.0,,1386652772421.0,415995831726.0,970656940695.0
- Dưới 6 tháng,- Dưới 6 tháng,- Dưới 6 tháng,397.699.386.362,202.493.704.823,195.205.681.539,-,-,-,397699386362.0,202493704823.0,195205681539.0,,,
Công ty Nhiệt điện Phú Mỹ - Chi nhánh Tổng Công ty Phát điện 3 - Công ty Cổ phần,Công ty Nhiệt điện Phú Mỹ - Chi nhánh Tổng Công ty Phát điện 3 - Công ty Cổ phần,Công ty Nhiệt điện Phú Mỹ - Chi nhánh Tổng Công ty Phát điện 3 - Công ty Cổ phần,745.199.906.195,745.199.906.195,-,401.217.852.660,198.338.868.754,202.878.983.906,745199906195.0,745199906195.0,,401217852660.0,198338868754.0,202878983906.0
- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,-,-,-,96.793.979.068,67.755.785.348,29.038.193.720,,,,96793979068.0,67755785348.0,29038193720.0
- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,255.130.547.606,255.130.547.606,-,196.279.606.644,98.139.803.322,98.139.803.322,255130547606.0,255130547606.0,,196279606644.0,98139803322.0,98139803322.0
- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,181.006.736.067,181.006.736.067,-,108.144.266.948,32.443.280.084,75.700.986.864,181006736067.0,181006736067.0,,108144266948.0,32443280084.0,75700986864.0
- Dưới 6 tháng,- Dưới 6 tháng,- Dưới 6 tháng,309.062.622.522,309.062.622.522,-,-,-,-,309062622522.0,309062622522.0,,,,
Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,1.101.886.084.971,218.498.263.603,-,164.908.821.665,137.249.137.901,27.659.683.764,1101886084971.0,218498263603.0,,164908821665.0,137249137901.0,27659683764.0
- Từ 3 năm trở lên,- Từ 3 năm trở lên,- Từ 3 năm trở lên,118.982.547.915,118.982.547.915,-,104.516.208.832,104.516.208.832,-,118982547915.0,118982547915.0,,104516208832.0,104516208832.0,
- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,44.143.047.927,44.143.047.927,-,14.466.339.083,10.126.437.358,4.339.901.725,44143047927.0,44143047927.0,,14466339083.0,10126437358.0,4339901725.0
- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,16.108.089.827,16.108.089.827,-,44.143.047.927,22.071.523.964,22.071.523.963,16108089827.0,16108089827.0,,44143047927.0,22071523964.0,22071523963.0
- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,26.595.379.371,26.595.379.371,-,1.783.225.823,534.967.747,1.248.258.076,26595379371.0,26595379371.0,,1783225823.0,534967747.0,1248258076.0
- Dưới 6 tháng,- Dưới 6 tháng,- Dưới 6 tháng,896.057.019.931,12.669.198.563,883.387.821.368,-,-,-,896057019931.0,12669198563.0,883387821368.0,,,
