row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Interest Income from affiliate in the Group,Interest Income from affiliate in the Group,Interest Income from affiliate in the Group,Interest Income from affiliate in the Group,Interest Income from affiliate in the Group,,
Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,"43,510,547,941","63,096,756,586",,
Dividends received from subsidiaries,Dividends received from subsidiaries,Dividends received from subsidiaries,Dividends received from subsidiaries,Dividends received from subsidiaries,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,"74,992,500,000","74,992,500,000",,
CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,"23,587,200,000","23,587,200,000",,
Dividends received from an associate,Dividends received from an associate,Dividends received from an associate,Dividends received from an associate,Dividends received from an associate,,
Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,"35,263,158,000","35,263,158,000",,
Profit distributed from affiliate in the Group,Profit distributed from affiliate in the Group,Profit distributed from affiliate in the Group,Profit distributed from affiliate in the Group,Profit distributed from affiliate in the Group,,
PetroVietnam Oil Corporation (*),PetroVietnam Oil Corporation (*),PetroVietnam Oil Corporation (*),"33,396,907,390","249,926,814",,
