row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,Provision,Cost,Provision,,,,
,,,VND,VND,VND,VND,,,,
Goods in transit,Goods in transit,Goods in transit,"770,303,957,871",-,"1,134,955,602,332",-,,,,
Raw materials,Raw materials,Raw materials,"813,630,491,844","(157,333,891,897)","760,328,189,925","(113,014,149,550)",,,,
Tools and supplies,Tools and supplies,Tools and supplies,"1,077,276,671",-,"2,129,870,537",-,,,,
Work in progress,Work in progress,Work in progress,"5,023,502,087",-,"796,111,091",-,,,,
Finished goods,Finished goods,Finished goods,"109,746,968,536",-,"176,598,546,042",-,,,,
Merchandise,Merchandise,Merchandise,"2,084,517,570,695",-,"2,079,285,575,847",-,,,,
Goods on consignment,Goods on consignment,Goods on consignment,"39,103,151,660",-,"91,701,951,759",-,,,,
,,,"3,823,402,919,364","(157,333,891,897)","4,245,795,847,533","(113,014,149,550)",,,,
