row_label_raw,row_label_full,CONTENTS,PAGE(S),numeric__PAGE(S)
STATEMENT OF THE BOARD OF MANAGEMENT,STATEMENT OF THE BOARD OF MANAGEMENT,STATEMENT OF THE BOARD OF MANAGEMENT,1 - 2,
INDEPENDENT AUDITORS' REPORT,INDEPENDENT AUDITORS' REPORT,INDEPENDENT AUDITORS' REPORT,3 - 4,
SEPARATE BALANCE SHEET,SEPARATE BALANCE SHEET,SEPARATE BALANCE SHEET,5 - 6,
SEPARATE INCOME STATEMENT,SEPARATE BALANCE SHEET > SEPARATE INCOME STATEMENT,SEPARATE INCOME STATEMENT,7,7.0
SEPARATE CASH FLOW STATEMENT,SEPARATE CASH FLOW STATEMENT,SEPARATE CASH FLOW STATEMENT,8 - 9,
NOTES TO THE SEPARATE FINANCIAL STATEMENTS,NOTES TO THE SEPARATE FINANCIAL STATEMENTS,NOTES TO THE SEPARATE FINANCIAL STATEMENTS,10 - 55,
