row_label_raw,row_label_full,col_0,Capital contribution,numeric__Capital contribution
,,,%,
The Corporation,The Corporation,The Corporation,90%,0.9
Phu Long Real Estate Joint Stock Company,Phu Long Real Estate Joint Stock Company,Phu Long Real Estate Joint Stock Company,10%,0.1
