row_label_raw,row_label_full,Dependent accounting unit,Place of operation,numeric__Place of operation
PetroVietnam Gas South East Branch (formerly known as PetroVietnam Gas South East Transmission Company),PetroVietnam Gas South East Branch (formerly known as PetroVietnam Gas South East Transmission Company),PetroVietnam Gas South East Branch (formerly known as PetroVietnam Gas South East Transmission Company),Ho Chi Minh City,
PetroVietnam Gas Logistics Branch (*),PetroVietnam Gas Logistics Branch (*),PetroVietnam Gas Logistics Branch (*),Ho Chi Minh City,
PetroVietnam Gas Trading Company,PetroVietnam Gas Trading Company,PetroVietnam Gas Trading Company,Ho Chi Minh City,
PetroVietnam Gas Services Company,PetroVietnam Gas Services Company,PetroVietnam Gas Services Company,Ho Chi Minh City,
PetroVietnam Gas Project Management Company,PetroVietnam Gas Project Management Company,PetroVietnam Gas Project Management Company,Ho Chi Minh City,
PetroVietnam Gas South West Branch (formerly known as PetroVietnam Gas Ca Mau Company),PetroVietnam Gas South West Branch (formerly known as PetroVietnam Gas Ca Mau Company),PetroVietnam Gas South West Branch (formerly known as PetroVietnam Gas Ca Mau Company),Ca Mau Province,
PetroVietnam Gas Nam Con Son Pipeline Company,PetroVietnam Gas Nam Con Son Pipeline Company,PetroVietnam Gas Nam Con Son Pipeline Company,Ho Chi Minh City,
PetroVietnam Gas North Branch (formerly known as PetroVietnam Gas – Hai Phong Branch),PetroVietnam Gas North Branch (formerly known as PetroVietnam Gas – Hai Phong Branch),PetroVietnam Gas North Branch (formerly known as PetroVietnam Gas – Hai Phong Branch),Hai Phong City,
PetroVietnam Gas LNG Trading Branch,PetroVietnam Gas LNG Trading Branch,PetroVietnam Gas LNG Trading Branch,Ho Chi Minh City,
PetroVietnam Gas Vung Tau Processing Company (operations ceased since 01 December 2025),PetroVietnam Gas Vung Tau Processing Company (operations ceased since 01 December 2025),PetroVietnam Gas Vung Tau Processing Company (operations ceased since 01 December 2025),Ho Chi Minh City,
