row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,"43,281,177,479,983","30,871,757,597,331",,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,"1,667,941,712,795","1,262,081,866,077",,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,"10,701,991,857,376","10,236,704,097,641",,
PetroVietnam Gas International Trading Company,PetroVietnam Gas International Trading Company,PetroVietnam Gas International Trading Company,"4,192,089,326,845",-,,
Pte. Ltd.,Pte. Ltd.,Pte. Ltd.,Pte. Ltd.,Pte. Ltd.,,
PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,"2,127,957,290,895","3,284,557,960,189",,
CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,"457,711,292,579","271,750,431,365",,
PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,"874,947,621","925,925,926",,
Associate,Associate,Associate,Associate,Associate,,
Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,"1,752,304,270,329","1,906,482,488,925",,
Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,Affiliates in the Group,,
PetroVietnam Power Corporation - Joint Stock Company,PetroVietnam Power Corporation - Joint Stock Company,PetroVietnam Power Corporation - Joint Stock Company,"12,490,279,264,592","5,326,978,556,405",,
In which:,In which:,In which:,In which:,In which:,,
- PetroVietnam Power Corporation - Joint Stock Company,- PetroVietnam Power Corporation - Joint Stock Company,- PetroVietnam Power Corporation - Joint Stock Company,"6,913,984,817,735","535,610,656,364",,
- PetroVietnam Power Nhon Trach 2 Joint Stock Company,- PetroVietnam Power Nhon Trach 2 Joint Stock Company,- PetroVietnam Power Nhon Trach 2 Joint Stock Company,"5,576,294,446,857","4,791,367,900,041",,
- PetroVietnam Power Services Joint Stock Company,- PetroVietnam Power Services Joint Stock Company,- PetroVietnam Power Services Joint Stock Company,-,"1,979,711,117",,
PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,"5,742,576,351,667","5,823,706,558,507",,
PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,"1,947,210,252,975","1,003,662,698,658",,
In which:,In which:,In which:,In which:,In which:,,
- PVOIL Singapore Pte. Ltd.,- PVOIL Singapore Pte. Ltd.,- PVOIL Singapore Pte. Ltd.,"1,011,529,349,002",-,,
- PetroVietnam Oil Corporation,- PetroVietnam Oil Corporation,- PetroVietnam Oil Corporation,"934,451,562,615","1,002,585,603,763",,
- PetroVietnam Oil Phu My Joint Stock Company,- PetroVietnam Oil Phu My Joint Stock Company,- PetroVietnam Oil Phu My Joint Stock Company,"1,229,341,358","1,077,094,895",,
- PetroVietnam Oil Transportation - One - Member Limited Company,- PetroVietnam Oil Transportation - One - Member Limited Company,- PetroVietnam Oil Transportation - One - Member Limited Company,"286,578,000","132,900,250",,
PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,PetroVietnam Ca Mau Fertilizer Corporation - Joint Stock Company,"1,030,650,887,132","9,811,643,089",,
PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,"675,518,867,767","605,085,037,987",,
In which:,In which:,In which:,In which:,In which:,,
- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,"613,685,911,456","605,085,037,987",,
- Quang Ngai Petro Transportation Joint Stock Company,- Quang Ngai Petro Transportation Joint Stock Company,- Quang Ngai Petro Transportation Joint Stock Company,"61,832,956,311",-,,
Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,"451,751,166,086","402,115,261,695",,
PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,"23,154,357,933","2,278,071,355",,
In which:,In which:,In which:,In which:,In which:,,
- PetroVietnam Technical Services Corporation,- PetroVietnam Technical Services Corporation,- PetroVietnam Technical Services Corporation,"22,336,020,218","35,369,445",,
- PTSC Mechanical and Construction Limited Company,- PTSC Mechanical and Construction Limited Company,- PTSC Mechanical and Construction Limited Company,"818,337,715","1,361,151,910",,
- PTSC Thanh Hoa Technical Services Joint Stock Company,- PTSC Thanh Hoa Technical Services Joint Stock Company,- PTSC Thanh Hoa Technical Services Joint Stock Company,-,"881,550,000",,
PetroVietnam Chemical and Services Corporation,PetroVietnam Chemical and Services Corporation,PetroVietnam Chemical and Services Corporation,"15,903,494,886","61,203,535,565",,
In which:,In which:,In which:,In which:,In which:,,
- PVChem - Tech Company Limited,- PVChem - Tech Company Limited,- PVChem - Tech Company Limited,"15,903,494,886","61,203,535,565",,
PetroVietnam Exploration Production Corporation Limited,PetroVietnam Exploration Production Corporation Limited,PetroVietnam Exploration Production Corporation Limited,"1,790,386,874","669,539,365,740",,
