row_label_raw,row_label_full,ITEMS,Codes,Notes,Current year,Prior year,numeric__Codes,numeric__Notes,numeric__Current year,numeric__Prior year
1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,1. Gross revenue from goods sold and services rendered,01,27,"112,249,363,657,413","99,401,751,288,148",1.0,27.0,,
2. Net revenue from goods sold and services rendered (10=01),2. Net revenue from goods sold and services rendered (10=01),2. Net revenue from goods sold and services rendered (10=01),10,,"112,249,363,657,413","99,401,751,288,148",10.0,,,
3. Cost of goods sold and services rendered,3. Cost of goods sold and services rendered,3. Cost of goods sold and services rendered,11,28,"96,923,884,241,759","83,311,867,096,527",11.0,28.0,,
4. Gross profit from goods sold and services rendered (20=10-11),4. Gross profit from goods sold and services rendered (20=10-11),4. Gross profit from goods sold and services rendered (20=10-11),20,,"15,325,479,415,654","16,089,884,191,621",20.0,,,
5. Financial income,5. Financial income,5. Financial income,21,30,"1,630,110,016,176","1,794,148,520,947",21.0,30.0,,
6. Financial expenses,6. Financial expenses,6. Financial expenses,22,31,"300,426,040,144","714,085,858,180",22.0,31.0,,
- In which: Interest expense,- In which: Interest expense,- In which: Interest expense,23,,"185,837,047,236","310,319,540,421",23.0,,,
7. Selling expenses,7. Selling expenses,7. Selling expenses,25,32,"1,731,027,699,677","1,694,376,849,172",25.0,32.0,,
8. General and administration expenses,8. General and administration expenses,8. General and administration expenses,26,32,"965,698,210,095","2,877,124,549,264",26.0,32.0,,
9. Operating profit (30=20+(21-22)-(25+26)),9. Operating profit (30=20+(21-22)-(25+26)),9. Operating profit (30=20+(21-22)-(25+26)),30,,"13,958,437,481,914","12,598,445,455,952",30.0,,,
10. Other income,10. Other income,10. Other income,31,,"55,831,920,537","40,271,277,331",31.0,,,
11. Other expenses,11. Other expenses,11. Other expenses,32,,"64,176,366,507","23,747,949,909",32.0,,,
12.(Loss)/profit from other activities (40=31-32),12.(Loss)/profit from other activities (40=31-32),12.(Loss)/profit from other activities (40=31-32),40,,"(8,344,445,970)","16,523,327,422",40.0,,,
13. Accounting profit before tax (50=30+40),13. Accounting profit before tax (50=30+40),13. Accounting profit before tax (50=30+40),50,,"13,950,093,035,944","12,614,968,783,374",50.0,,,
14. Current corporate income tax expense,14. Current corporate income tax expense,14. Current corporate income tax expense,51,33,"2,716,378,557,735","2,472,126,936,407",51.0,33.0,,
15. Net profit after corporate income tax (60=50-51),15. Net profit after corporate income tax (60=50-51),15. Net profit after corporate income tax (60=50-51),60,,"11,233,714,478,209","10,142,841,846,967",60.0,,,
16. Basic earnings per share,16. Basic earnings per share,16. Basic earnings per share,70,34,"4,578","4,047",70.0,34.0,4.578,4.047
