row_label_raw,row_label_full,ITEMS,Codes,Current year,Prior year,numeric__Codes,numeric__Current year,numeric__Prior year
1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,1. CASH FLOWS FROM OPERATING ACTIVITIES,,,
1. Profit before tax,1. CASH FLOWS FROM OPERATING ACTIVITIES > 1. Profit before tax,1. Profit before tax,01,"13,950,093,035,944","12,614,968,783,374",1.0,,
2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,2. Adjustments for:,,,
Depreciation and amortisation of fixed assets,2. Adjustments for: > Depreciation and amortisation of fixed assets,Depreciation and amortisation of fixed assets,02,"2,663,256,676,453","2,635,847,031,782",2.0,,
Provisions,2. Adjustments for: > Provisions,Provisions,03,"(306,516,947,702)","2,167,867,201,301",3.0,,
Foreign exchange (gain)/loss arising from translating foreign currency monetary items,2. Adjustments for: > Foreign exchange (gain)/loss arising from translating foreign currency monetary items,Foreign exchange (gain)/loss arising from translating foreign currency monetary items,04,"(55,780,962,592)","3,355,029,350",4.0,,
Gain from investing activities,2. Adjustments for: > Gain from investing activities,Gain from investing activities,05,"(1,323,631,810,456)","(1,533,352,846,975)",5.0,,
Interest expense,2. Adjustments for: > Interest expense,Interest expense,06,"185,837,047,236","310,319,540,421",6.0,,
3. Operating profit before movements in working capital,2. Adjustments for: > 3. Operating profit before movements in working capital,3. Operating profit before movements in working capital,08,"15,113,257,038,883","16,199,004,739,253",8.0,,
"Increase, decrease in receivables","2. Adjustments for: > Increase, decrease in receivables","Increase, decrease in receivables",09,"(3,194,292,019,156)","(4,562,085,704,674)",9.0,,
"Increase, decrease in inventories","2. Adjustments for: > Increase, decrease in inventories","Increase, decrease in inventories",10,"422,392,928,169","(554,898,912,477)",10.0,,
"Increase, decrease in payables (excluding accrued loan interest and corporate income tax payable)","2. Adjustments for: > Increase, decrease in payables (excluding accrued loan interest and corporate income tax payable)","Increase, decrease in payables (excluding accrued loan interest and corporate income tax payable)",11,"3,727,694,158,384","336,816,393,119",11.0,,
"Increase, decrease in prepaid expenses","2. Adjustments for: > Increase, decrease in prepaid expenses","Increase, decrease in prepaid expenses",12,"358,129,775,482","(193,835,066,626)",12.0,,
Interest paid,2. Adjustments for: > Interest paid,Interest paid,14,"(190,655,357,002)","(332,049,874,468)",14.0,,
Corporate income tax paid,2. Adjustments for: > Corporate income tax paid,Corporate income tax paid,15,"(2,345,039,849,728)","(2,523,894,531,111)",15.0,,
Other cash outflows,2. Adjustments for: > Other cash outflows,Other cash outflows,17,"(304,652,561,836)","(269,089,356,633)",17.0,,
Net cash generated by operating activities,2. Adjustments for: > Net cash generated by operating activities,Net cash generated by operating activities,20,"13,586,834,113,196","8,099,967,686,383",20.0,,
II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,,,
1. Acquisition and construction of fixed assets and other long-term assets,II. CASH FLOWS FROM INVESTING ACTIVITIES > 1. Acquisition and construction of fixed assets and other long-term assets,1. Acquisition and construction of fixed assets and other long-term assets,21,"(2,120,056,872,893)","(1,641,386,946,922)",21.0,,
"2. Proceeds from sale, disposal of fixed assets and other long-term assets","II. CASH FLOWS FROM INVESTING ACTIVITIES > 2. Proceeds from sale, disposal of fixed assets and other long-term assets","2. Proceeds from sale, disposal of fixed assets and other long-term assets",22,"629,873,704","1,386,025,703",22.0,,
"3. Cash outflow for lending, buying debt instruments of other entities","II. CASH FLOWS FROM INVESTING ACTIVITIES > 3. Cash outflow for lending, buying debt instruments of other entities","3. Cash outflow for lending, buying debt instruments of other entities",23,"(43,879,833,161,271)","(44,711,890,195,248)",23.0,,
"4. Cash recovered from lending, selling debt instruments of other entities","II. CASH FLOWS FROM INVESTING ACTIVITIES > 4. Cash recovered from lending, selling debt instruments of other entities","4. Cash recovered from lending, selling debt instruments of other entities",24,"38,296,009,059,357","52,867,316,706,510",24.0,,
5. Equity investments in other entities,II. CASH FLOWS FROM INVESTING ACTIVITIES > 5. Equity investments in other entities,5. Equity investments in other entities,25,"(10,167,798,761)",,25.0,,
"6. Interest earned, dividends and profits received","II. CASH FLOWS FROM INVESTING ACTIVITIES > 6. Interest earned, dividends and profits received","6. Interest earned, dividends and profits received",27,"1,264,424,464,939","1,834,448,191,358",27.0,,
Net cash (used in)/generated by investing activities,II. CASH FLOWS FROM INVESTING ACTIVITIES > Net cash (used in)/generated by investing activities,Net cash (used in)/generated by investing activities,30,"(6,448,994,434,925)","8,349,873,781,401",30.0,,
