row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc và thiết bị,"Phương tiện vận tải, thiết bị truyền dẫn",Thiết bị quản lý,Tài sản cố định hữu hình khác,Tổng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Thiết bị quản lý,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,,,,
Số dư đầu năm,NGUYÊN GIẢ > Số dư đầu năm,Số dư đầu năm,11.381.108.107.020,1.530.196.582.473,283.289.836.816,455.512.585.949,46.110.326.393.539,59.760.433.505.797,11381108107020.0,1530196582473.0,283289836816.0,455512585949.0,46110326393539.0,59760433505797.0
Mua trong năm,NGUYÊN GIẢ > Mua trong năm,Mua trong năm,13.307.049.939,53.696.628.906,4.262.707.400,33.858.625.017,6.305.555.038,111.430.566.300,13307049939.0,53696628906.0,4262707400.0,33858625017.0,6305555038.0,111430566300.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIẢ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,18.706.981.102,2.177.143.499,-,2.101.541.634,241.540.514.348,264.526.180.583,18706981102.0,2177143499.0,,2101541634.0,241540514348.0,264526180583.0
Phân loại lại,NGUYÊN GIẢ > Phân loại lại,Phân loại lại,(489.000.000),748.462.297,-,98.019.891,(357.482.188),-,-489000000.0,748462297.0,,98019891.0,-357482188.0,
"Thanh lý, nhượng bán","NGUYÊN GIẢ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.323.395.867),(6.462.047.029),(700.512.540),(9.033.833.216),(1.998.602.623),(20.518.391.275),-2323395867.0,-6462047029.0,-700512540.0,-9033833216.0,-1998602623.0,-20518391275.0
Tăng/(giảm) khác,NGUYÊN GIẢ > Tăng/(giảm) khác,Tăng/(giảm) khác,1.406.912.412,-,-,(29.190.000),-,1.377.722.412,1406912412.0,,,-29190000.0,,1377722412.0
Số dư cuối năm,NGUYÊN GIẢ > Số dư cuối năm,Số dư cuối năm,11.411.716.654.606,1.580.356.770.146,286.852.031.676,482.507.749.275,46.355.816.378.114,60.117.249.583.817,11411716654606.0,1580356770146.0,286852031676.0,482507749275.0,46355816378114.0,60117249583817.0
GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.215.303.043.145,1.171.012.208.210,207.384.333.332,400.782.273.339,36.424.464.914.102,43.418.946.772.128,5215303043145.0,1171012208210.0,207384333332.0,400782273339.0,36424464914102.0,43418946772128.0
Khẩu hao trong năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,413.463.022.490,92.146.187.431,17.925.997.619,36.232.637.653,2.089.113.270.885,2.648.881.116.078,413463022490.0,92146187431.0,17925997619.0,36232637653.0,2089113270885.0,2648881116078.0
"Thanh lý, nhượng bán","GIẢ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.323.395.867),(6.462.047.029),(700.512.540),(9.028.855.435),(1.998.602.623),(20.513.413.494),-2323395867.0,-6462047029.0,-700512540.0,-9028855435.0,-1998602623.0,-20513413494.0
Phân loại lại,GIẢ TRỊ HAO MÔN LỦY KẾ > Phân loại lại,Phân loại lại,(488.977.740),828.450.258,-,(21.782.394),(317.690.124),-,-488977740.0,828450258.0,,-21782394.0,-317690124.0,
Tăng/(giảm) khác,GIẢ TRỊ HAO MÔN LỦY KẾ > Tăng/(giảm) khác,Tăng/(giảm) khác,23.542.018,-,-,159.846.760,12.134.414,195.523.192,23542018.0,,,159846760.0,12134414.0,195523192.0
Số dư cuối năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,5.625.977.234.046,1.257.524.798.870,224.609.818.411,428.124.119.923,38.511.274.026.654,46.047.509.997.904,5625977234046.0,1257524798870.0,224609818411.0,428124119923.0,38511274026654.0,46047509997904.0
GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,,,,,,
Tại ngày đầu năm,GIẢ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.165.805.063.875,359.184.374.263,75.905.503.484,54.730.312.610,9.685.861.479.437,16.341.486.733.669,6165805063875.0,359184374263.0,75905503484.0,54730312610.0,9685861479437.0,16341486733669.0
Tại ngày cuối năm,GIẢ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.785.739.420.560,322.831.971.276,62.242.213.265,54.383.629.352,7.844.542.351.460,14.069.739.585.913,5785739420560.0,322831971276.0,62242213265.0,54383629352.0,7844542351460.0,14069739585913.0
