row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Closing balance_3,Closing balance_4,Opening balance,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Closing balance_3,numeric__Closing balance_4,numeric__Opening balance
,,,Cost,Provision,Recoverable amount (*),Cost,Provision,Recoverable amount (*),,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),a) Short-term receivables from customers (continued),,,,,,
Mekong Energy Company Ltd,Mekong Energy Company Ltd,Mekong Energy Company Ltd,-,-,-,"1,010,735,528,862","424,756,069,669","585,979,459,193",,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,-,-,-,"56,647,465,423","39,653,225,796","16,994,239,627",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,-,-,-,"494,382,124,206","247,191,062,103","247,191,062,103",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,-,-,-,"459,705,939,233","137,911,781,770","321,794,157,463",,,,,,
Phu My 3 BOT Power Company Ltd,Phu My 3 BOT Power Company Ltd,Phu My 3 BOT Power Company Ltd,-,-,-,"888,333,195,622","380,763,481,424","507,569,714,198",,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,-,-,-,"44,733,556,510","31,313,489,557","13,420,066,953",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,-,-,-,"481,850,500,665","240,925,250,333","240,925,250,332",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,-,-,-,"361,749,138,447","108,524,741,534","253,224,396,913",,,,,,
Others,Others,Others,Others,Others,Others,Others,Others,Others,,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"85,365,344,288","85,365,344,288",-,"85,365,344,288","85,365,344,288",-,,,,,,
b) Short-term advances to suppliers,b) Short-term advances to suppliers,b) Short-term advances to suppliers,-,-,-,"166,434,013,615","80,501,867,926","85,932,145,689",,,,,,
PetroVietnam Exploration Production Corporation Limited,PetroVietnam Exploration Production Corporation Limited,PetroVietnam Exploration Production Corporation Limited,-,-,-,"166,434,013,615","80,501,867,926","85,932,145,689",,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,-,-,-,"40,098,227,943","28,068,759,560","12,029,468,383",,,,,,
- From 1 years to less than 2 years,- From 1 years to less than 2 years,- From 1 years to less than 2 years,-,-,-,"72,661,863,320","36,330,931,660","36,330,931,660",,,,,,
- From 6 months to less than 1 year,- From 6 months to less than 1 year,- From 6 months to less than 1 year,-,-,-,"53,673,922,352","16,102,176,706","37,571,745,646",,,,,,
c) Other current receivables,c) Other current receivables,c) Other current receivables,"446,212,500,000","446,212,500,000",-,"453,337,857,804","453,337,857,804",-,,,,,,
PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,"390,000,000,000","390,000,000,000",-,"397,125,357,804","397,125,357,804",-,,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"390,000,000,000","390,000,000,000",-,"397,125,357,804","397,125,357,804",-,,,,,,
PetroVietnam Urban Delopment Joint Stock Company,PetroVietnam Urban Delopment Joint Stock Company,PetroVietnam Urban Delopment Joint Stock Company,"56,212,500,000","56,212,500,000",-,"56,212,500,000","56,212,500,000",-,,,,,,
- Over 3 years,- Over 3 years,- Over 3 years,"56,212,500,000","56,212,500,000",-,"50,000,000,000","50,000,000,000",-,,,,,,
- From 2 years to less than 3 years,- From 2 years to less than 3 years,- From 2 years to less than 3 years,-,-,-,"6,212,500,000","6,212,500,000",-,,,,,,
,,,"3,694,238,353,055","2,600,329,599,920","1,093,908,753,135","5,952,212,488,566","3,060,951,520,113","2,891,260,968,453",,,,,,
