row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,Vietnam National Industry - Energy Group,Owner,
"Subsidiaries, joint ventures, and associates of Vietnam National Industry and Energy Group.","Subsidiaries, joint ventures, and associates of Vietnam National Industry and Energy Group.","Subsidiaries, joint ventures, and associates of Vietnam National Industry and Energy Group.",Affiliates in the Group,
Subsidiaries and associates of the Corporation.,Subsidiaries and associates of the Corporation.,Subsidiaries and associates of the Corporation.,Entities over which the Corporation holds control or has significant influence,
