row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
- PetroVietnam Security Service Corporation,- PetroVietnam Security Service Corporation,- PetroVietnam Security Service Corporation,"48,173,247,991","48,737,199,507",,
- Dinh Vu Petroleum Services Port Joint Stock Company,- Dinh Vu Petroleum Services Port Joint Stock Company,- Dinh Vu Petroleum Services Port Joint Stock Company,"20,280,306,370","20,343,048,191",,
- Petro Hotel Company Limited,- Petro Hotel Company Limited,- Petro Hotel Company Limited,"1,588,875,773","2,514,184,678",,
- PTSC Geos and Subsea Services Company Ltd,- PTSC Geos and Subsea Services Company Ltd,- PTSC Geos and Subsea Services Company Ltd,,"99,240,891,627",,
- PTSC Offshore Services Joint Stock Company,- PTSC Offshore Services Joint Stock Company,- PTSC Offshore Services Joint Stock Company,,"6,018,518,519",,
Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,Russia-Vietnam Joint Venture Vietsovpetro,"382,290,258,460","381,701,312,652",,
PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,PetroVietnam Transportation Corporation,"347,320,378,747","538,588,824,270",,
In which:,In which:,In which:,In which:,In which:,,
- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,- International Gas Product Shipping Joint Stock Company,"336,569,228,028","481,069,196,199",,
- Indochina Petroleum Transportation Joint Stock Company,- Indochina Petroleum Transportation Joint Stock Company,- Indochina Petroleum Transportation Joint Stock Company,"10,751,150,719","57,519,628,071",,
- Quang Ngai Petro Transportation Joint Stock Company,- Quang Ngai Petro Transportation Joint Stock Company,- Quang Ngai Petro Transportation Joint Stock Company,"30,460,731","30,168,045",,
PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,PetroVietnam Exploration Production Corporation,"197,792,672,920","406,537,204,073",,
PetroVietnam Insurance Corporation,PetroVietnam Insurance Corporation,PetroVietnam Insurance Corporation,"184,662,652,833","168,806,217,999",,
PetroVietnam General Services Joint Stock Corporation,PetroVietnam General Services Joint Stock Corporation,PetroVietnam General Services Joint Stock Corporation,"63,995,767,936","58,193,480,054",,
PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,PetroVietnam Oil Corporation,"48,510,252,178","59,903,842,112",,
In which:,In which:,In which:,In which:,In which:,,
- Hai Phong PVOil Petroleum Joint Stock Company,- Hai Phong PVOil Petroleum Joint Stock Company,- Hai Phong PVOil Petroleum Joint Stock Company,"41,724,408,633","52,231,033,660",,
- PetroVietnam Oil Vung Tau Joint Stock Company,- PetroVietnam Oil Vung Tau Joint Stock Company,- PetroVietnam Oil Vung Tau Joint Stock Company,"4,769,843,545","5,848,808,452",,
- PetroVietnam Oil Ha Noi Joint Stock Company,- PetroVietnam Oil Ha Noi Joint Stock Company,- PetroVietnam Oil Ha Noi Joint Stock Company,"2,016,000,000","1,824,000,000",,
PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,PetroVietnam Fertilizer and Chemicals Corporation,"7,630,700,000","11,396,238,166",,
PetroVietnam Chemical and Services Corporation,PetroVietnam Chemical and Services Corporation,PetroVietnam Chemical and Services Corporation,"7,009,888,479","1,711,633,817",,
In which:,In which:,In which:,In which:,In which:,,
- PVChem - Tech Company Limited,- PVChem - Tech Company Limited,- PVChem - Tech Company Limited,"7,009,888,479","1,711,633,817",,
PetroVietnam Drilling & Well Service Corporation,PetroVietnam Drilling & Well Service Corporation,PetroVietnam Drilling & Well Service Corporation,"5,317,977,679","4,676,092,095",,
In which:,In which:,In which:,In which:,In which:,,
- PVD Technical Training and Certification Joint Stock Company,- PVD Technical Training and Certification Joint Stock Company,- PVD Technical Training and Certification Joint Stock Company,"5,317,977,679","4,676,092,095",,
PetroVietnam Engineering Consultancy Corporation,PetroVietnam Engineering Consultancy Corporation,PetroVietnam Engineering Consultancy Corporation,"1,445,121,426","17,859,305,413",,
In which:,In which:,In which:,In which:,In which:,,
- PetroVietnam Engineering Consultancy Corporation,- PetroVietnam Engineering Consultancy Corporation,- PetroVietnam Engineering Consultancy Corporation,"1,445,121,426",,,
- PVE Oil Gas Survey Consultancy Joint Stock Company,- PVE Oil Gas Survey Consultancy Joint Stock Company,- PVE Oil Gas Survey Consultancy Joint Stock Company,,"17,859,305,413",,
