row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Hoạt động chính,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày đầu năm,Tại ngày đầu năm_1,numeric__Nơi thành lập và hoạt động,numeric__Hoạt động chính,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Nơi thành lập và hoạt động,Hoạt động chính,Tỷ lệ góp vốn,Tỷ lệ quyền biểu quyết,Tỷ lệ góp vốn,Tỷ lệ quyền biểu quyết,,,,,,
,,,,,%,%,%,%,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Thành phố Hồ Chí Minh,Phân phối khí thấp áp,"50,50%","50,50%","50,50%","50,50%",,,0.505,0.505,0.505,0.505
Công ty Cổ phần LNG Việt Nam,Công ty con > Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Thành phố Hồ Chí Minh,Sản xuất khí thiên nhiên,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty con > Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Thành phố Hà Nội,Phân phối khí hóa lòng,"51,31%","51,31%","51,31%","51,31%",,,0.5131,0.5131,0.5131,0.5131
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Thành phố Hồ Chí Minh,Kinh doanh dịch vụ bọc ống,"52,94%","52,94%","52,94%","52,94%",,,0.5294,0.5294,0.5294,0.5294
Công ty Cổ phần CNG Việt Nam,Công ty con > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Thành phố Hồ Chí Minh,Sản xuất khí thiên nhiên,"56,00%","56,00%","56,00%","56,00%",,,0.56,0.56,0.56,0.56
Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty con > Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty TNHH Kho Cảng LNG Sơn Mỹ,Tỉnh Lâm Đồng,Xử lý khí thiên nhiên,"61,00%","61,00%","61,00%","61,00%",,,0.61,0.61,0.61,0.61
Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Tỉnh Đồng Tháp,Sản xuất ống thép,"99,99%","99,99%","99,99%","99,99%",,,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999
PetroVietnam Gas International Trading Company Pte. Ltd. (*),Công ty con > PetroVietnam Gas International Trading Company Pte. Ltd. (*),PetroVietnam Gas International Trading Company Pte. Ltd. (*),Singapore,Kinh doanh các sản phẩm khí,"100,00%","100,00%",-,-,,,1.0,1.0,,
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,,,
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,"Công ty liên doanh, liên kết > Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom",Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Thành phố Hồ Chí Minh,Kinh doanh khí,"29,00%","29,00%","29,00%","29,00%",,,0.29,0.29,0.29,0.29
Công ty Cổ phần Kinh doanh khí Miền Nam,"Công ty liên doanh, liên kết > Công ty Cổ phần Kinh doanh khí Miền Nam",Công ty Cổ phần Kinh doanh khí Miền Nam,Thành phố Hồ Chí Minh,Phân phối khí hóa lòng,"35,26%","35,26%","35,26%","35,26%",,,0.35259999999999997,0.35259999999999997,0.35259999999999997,0.35259999999999997
