row_label_raw,row_label_full,col_0,Tỷ lệ góp,numeric__Tỷ lệ góp
,,,%,
Tổng Công ty,Tổng Công ty,Tổng Công ty,90%,0.9
Công ty Cổ phần Địa ốc Phú Long,Công ty Cổ phần Địa ốc Phú Long,Công ty Cổ phần Địa ốc Phú Long,10%,0.1
