row_label_raw,row_label_full,col_0,Closing balance,Opening balance(Restated),numeric__Closing balance,numeric__Opening balance(Restated)
,,,VND,VND,,
Profit after tax attributable to ordinary shareholders (VND),Profit after tax attributable to ordinary shareholders (VND),Profit after tax attributable to ordinary shareholders (VND),"11,233,714,478,209","10,142,841,846,967",,
Less: Allocation to Bonus and welfare funds (VND) (*),Less: Allocation to Bonus and welfare funds (VND) (*),Less: Allocation to Bonus and welfare funds (VND) (*),"(187,753,084,383)","(378,366,261,157)",,
Earnings for the purpose of calculating basis earnings per share (VND),Earnings for the purpose of calculating basis earnings per share (VND),Earnings for the purpose of calculating basis earnings per share (VND),"11,045,961,393,826","9,764,475,585,810",,
Weighted average number of ordinary shares to calculate basis earnings per share (share),Weighted average number of ordinary shares to calculate basis earnings per share (share),Weighted average number of ordinary shares to calculate basis earnings per share (share),"2,412,949,756","2,412,949,756",,
Basis earning per share (VND/share),Weighted average number of ordinary shares to calculate basis earnings per share (share) > Basis earning per share (VND/share),Basis earning per share (VND/share),"4,578","4,047",4.578,4.047
