row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Current prepayment,a. Current prepayment,a. Current prepayment,a. Current prepayment,a. Current prepayment,,
Insurance cost,Insurance cost,Insurance cost,"16,680,731,478","1,072,857,394",,
Others,Others,Others,"10,228,446,499","17,250,445,760",,
,,,"26,909,177,977","18,323,303,154",,
b. Non-current prepayment,b. Non-current prepayment,b. Non-current prepayment,b. Non-current prepayment,b. Non-current prepayment,,
Cost of gas offtake (*),Cost of gas offtake (*),Cost of gas offtake (*),"2,122,645,029,982","2,259,101,296,936",,
- Cost of gas offtake for Block 05-1b and 05-1c in 2021,- Cost of gas offtake for Block 05-1b and 05-1c in 2021,- Cost of gas offtake for Block 05-1b and 05-1c in 2021,"1,573,597,060,888","1,573,597,060,888",,
- Cost of gas offtake for Block 05-1b and 05-1c in 2023,- Cost of gas offtake for Block 05-1b and 05-1c in 2023,- Cost of gas offtake for Block 05-1b and 05-1c in 2023,"191,927,449,563","503,464,154,920",,
- Cost of gas offtake for Block 05-1b and 05-1c in 2024,- Cost of gas offtake for Block 05-1b and 05-1c in 2024,- Cost of gas offtake for Block 05-1b and 05-1c in 2024,"182,040,081,129","182,040,081,128",,
- Cost of gas offtake for Block 05-1b and 05-1c in 2025,- Cost of gas offtake for Block 05-1b and 05-1c in 2025,- Cost of gas offtake for Block 05-1b and 05-1c in 2025,"175,080,438,402",-,,
Gas cylinders,Gas cylinders,Gas cylinders,"234,743,034,983","416,719,496,903",,
Maintenance and repair costs,Maintenance and repair costs,Maintenance and repair costs,"85,554,478,271","127,359,144,254",,
Insurance cost,Insurance cost,Insurance cost,"72,801,456,675","65,887,613,158",,
Land and office rental,Land and office rental,Land and office rental,"52,838,714,807","68,194,922,708",,
Others,Others,Others,"252,624,622,038","250,660,513,102",,
,,,"2,821,207,336,756","3,187,922,987,061",,
