row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối lũy kế các năm trước,Lợi nhuận sau thuế chưa phân phối năm nay,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối lũy kế các năm trước,numeric__Lợi nhuận sau thuế chưa phân phối năm nay,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư đầu năm,Số dư đầu năm,22.967.398.470.000,246.727.266,23.700.087.492.741,6.073.988.895.882,11.383.054.668.103,64.124.776.253.992,22967398470000.0,246727266.0,23700087492741.0,6073988895882.0,11383054668103.0,64124776253992.0
Kết chuyển LNST chưa phân phối,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,11.383.054.668.103,(11.383.054.668.103),-,,,,11383054668103.0,-11383054668103.0,
Vốn tăng trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Vốn tăng trong năm,Vốn tăng trong năm,459.330.720.000,-,(459.330.720.000),-,-,-,459330720000.0,,-459330720000.0,,,
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,10.142.841.846.967,10.142.841.846.967,,,,,10142841846967.0,10142841846967.0
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(192.221.215.513),-,(192.221.215.513),,,,-192221215513.0,,-192221215513.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2024",-,-,-,-,(182.985.607.756),(182.985.607.756),,,,,-182985607756.0,-182985607756.0
Trích Quỹ thưởng Ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích Quỹ thưởng Ban điều hành,Trích Quỹ thưởng Ban điều hành,-,-,-,(2.664.135.000),-,(2.664.135.000),,,,-2664135000.0,,-2664135000.0
Trích Quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,3.467.000.000.000,(3.467.000.000.000),-,-,,,3467000000000.0,-3467000000000.0,,
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chia cổ tức,Chia cổ tức,-,-,-,(13.780.439.082.000),-,(13.780.439.082.000),,,,-13780439082000.0,,-13780439082000.0
Khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Khác,Khác,-,-,-,(19.331.306.861),-,(19.331.306.861),,,,-19331306861.0,,-19331306861.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số cuối năm,Số cuối năm,23.426.729.190.000,246.727.266,26.707.756.772.741,(4.612.175.389),9.959.856.239.211,60.089.976.753.829,23426729190000.0,246727266.0,26707756772741.0,-4612175389.0,9959856239211.0,60089976753829.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,,
Số dư đầu năm nay,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Số dư đầu năm nay,Số dư đầu năm nay,23.426.729.190.000,246.727.266,26.707.756.772.741,(4.612.175.389),9.959.856.239.211,60.089.976.753.829,23426729190000.0,246727266.0,26707756772741.0,-4612175389.0,9959856239211.0,60089976753829.0
Kết chuyển LNST chưa phân phối,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,9.959.856.239.211,(9.959.856.239.211),-,,,,9959856239211.0,-9959856239211.0,
Vốn tăng trong năm (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Vốn tăng trong năm (i),Vốn tăng trong năm (i),702.768.370.000,-,(702.768.370.000),-,-,-,702768370000.0,,-702768370000.0,,,
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,11.233.714.478.209,11.233.714.478.209,,,,,11233714478209.0,11233714478209.0
"Trích Quỹ khen thưởng, phúc lợi (ii)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)",-,-,-,(192.520.561.010),-,(192.520.561.010),,,,-192520561010.0,,-192520561010.0
Trích Quỹ thưởng Ban điều hành (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ thưởng Ban điều hành (ii),Trích Quỹ thưởng Ban điều hành (ii),-,-,-,(2.860.092.391),-,(2.860.092.391),,,,-2860092391.0,,-2860092391.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (iii)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (iii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2025 (iii)",-,-,-,-,(187.753.084.383),(187.753.084.383),,,,,-187753084383.0,-187753084383.0
Trích Quỹ đầu tư phát triển (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),-,-,3.042.852.554.090,(3.042.852.554.090),-,-,,,3042852554090.0,-3042852554090.0,,
Chia cổ tức (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,(4.919.613.129.900),-,(4.919.613.129.900),,,,-4919613129900.0,,-4919613129900.0
Khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Khác,Khác,-,-,-,(34.364.112.178),-,(34.364.112.178),,,,-34364112178.0,,-34364112178.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Số cuối năm,Số cuối năm,24.129.497.560.000,246.727.266,29.047.840.956.831,1.763.033.614.253,11.045.961.393.826,65.986.580.252.176,24129497560000.0,246727266.0,29047840956831.0,1763033614253.0,11045961393826.0,65986580252176.0
