row_label_raw,row_label_full,col_0,Giá gốc,Dự phòng,Số cuối nămGiá trị có thể thu hồi (*),Giá gốc_1,Dự phòng_1,Số đầu nămGiá trị có thể thu hồi (*),numeric__Giá gốc,numeric__Dự phòng,numeric__Số cuối nămGiá trị có thể thu hồi (*),numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Số đầu nămGiá trị có thể thu hồi (*)
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo),,,,,,
Công ty TNHH Năng lượng Mề Kông,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > Công ty TNHH Năng lượng Mề Kông,Công ty TNHH Năng lượng Mề Kông,-,-,-,1.010.735.528.862,424.756.069.669,585.979.459.193,,,,1010735528862.0,424756069669.0,585979459193.0
- Từ 2 năm đến dưới 3 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,-,-,-,56.647.465.423,39.653.225.796,16.994.239.627,,,,56647465423.0,39653225796.0,16994239627.0
- Từ 1 năm đến dưới 2 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,-,-,-,494.382.124.206,247.191.062.103,247.191.062.103,,,,494382124206.0,247191062103.0,247191062103.0
- Từ 6 tháng đến dưới 1 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,-,-,-,459.705.939.233,137.911.781.770,321.794.157.463,,,,459705939233.0,137911781770.0,321794157463.0
Công ty Điện lực TNHH BOT Phú Mỹ 3,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > Công ty Điện lực TNHH BOT Phú Mỹ 3,Công ty Điện lực TNHH BOT Phú Mỹ 3,-,-,-,888.333.195.622,380.763.481.424,507.569.714.198,,,,888333195622.0,380763481424.0,507569714198.0
- Từ 2 năm đến dưới 3 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 2 năm đến dưới 3 năm,- Từ 2 năm đến dưới 3 năm,-,-,-,44.733.556.510,31.313.489.557,13.420.066.953,,,,44733556510.0,31313489557.0,13420066953.0
- Từ 1 năm đến dưới 2 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 1 năm đến dưới 2 năm,- Từ 1 năm đến dưới 2 năm,-,-,-,481.850.500.665,240.925.250.333,240.925.250.332,,,,481850500665.0,240925250333.0,240925250332.0
- Từ 6 tháng đến dưới 1 năm,a) Các khoản phải thu ngắn hạn của khách hàng (tiếp theo) > - Từ 6 tháng đến dưới 1 năm,- Từ 6 tháng đến dưới 1 năm,-,-,-,361.749.138.447,108.524.741.534,253.224.396.913,,,,361749138447.0,108524741534.0,253224396913.0
