row_label_raw,row_label_full,RESOURCES,Codes,Notes,Closing balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
C. LIABILITIES,C. LIABILITIES,C. LIABILITIES,300,,"21,104,040,391,460","18,691,969,503,308",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"16,255,303,608,087","13,459,021,155,594",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,16,"8,988,926,433,372","5,627,072,471,947",311.0,16.0,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,,"68,969,142,545","86,364,083,615",312.0,,,
3. Taxes and amounts payable to the State budget,3. Taxes and amounts payable to the State budget,3. Taxes and amounts payable to the State budget,313,17,"983,890,469,509","661,920,797,060",313.0,17.0,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"383,749,060,978","349,093,330,262",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,18,"4,198,126,625,107","2,946,708,370,699",315.0,18.0,,
6. Short-term unearned revenue,6. Short-term unearned revenue,6. Short-term unearned revenue,318,19,"23,719,432,724","2,239,861,135,272",318.0,19.0,,
7. Other current payables,7. Other current payables,7. Other current payables,319,20,"122,145,261,002","143,728,195,285",319.0,20.0,,
8. Short-term loans and obligations under finance leases,8. Short-term loans and obligations under finance leases,8. Short-term loans and obligations under finance leases,320,21,"779,051,532,366","779,051,532,366",320.0,21.0,,
9. Bonus and welfare funds,9. Bonus and welfare funds,9. Bonus and welfare funds,322,22,"706,725,650,484","625,221,239,088",322.0,22.0,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"4,848,736,783,373","5,232,948,347,714",330.0,,,
1. Other long-term payables,1. Other long-term payables,1. Other long-term payables,337,20,"15,113,055,912","9,544,416,391",337.0,20.0,,
2. Long-term loans and obligations under finance leases,2. Long-term loans and obligations under finance leases,2. Long-term loans and obligations under finance leases,338,21,"1,473,205,949,570","2,252,257,481,936",338.0,21.0,,
3. Long-term provisions,3. Long-term provisions,3. Long-term provisions,342,23,"3,123,544,625,662","2,935,663,434,888",342.0,23.0,,
4. Scientific and technological development fund,4. Scientific and technological development fund,4. Scientific and technological development fund,343,,"236,873,152,229","35,483,014,499",343.0,,,
D. EQUITY,D. EQUITY,D. EQUITY,400,,"65,986,580,252,176","60,089,976,753,829",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,24,"65,986,580,252,176","60,089,976,753,829",410.0,24.0,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,,"24,129,497,560,000","23,426,729,190,000",411.0,,,
- Ordinary shares carrying voting rights,- Ordinary shares carrying voting rights,- Ordinary shares carrying voting rights,411a,,"24,129,497,560,000","23,426,729,190,000",,,,
2. Share premium,- Ordinary shares carrying voting rights > 2. Share premium,2. Share premium,412,,"246,727,266","246,727,266",412.0,,,
3. Investment and development fund,- Ordinary shares carrying voting rights > 3. Investment and development fund,3. Investment and development fund,418,,"29,047,840,956,831","26,707,756,772,741",418.0,,,
4. Retained earnings,- Ordinary shares carrying voting rights > 4. Retained earnings,4. Retained earnings,421,,"12,808,995,008,079","9,955,244,063,822",421.0,,,
- Retained earnings/(losses) accumulated to the prior year end,- Retained earnings/(losses) accumulated to the prior year end,- Retained earnings/(losses) accumulated to the prior year end,421a,,"1,763,033,614,253","(4,612,175,389)",,,,
- Retained earnings of the current year,- Retained earnings of the current year,- Retained earnings of the current year,421b,,"11,045,961,393,826","9,959,856,239,211",,,,
TOTAL RESOURCES (440=300+400),- Retained earnings of the current year > TOTAL RESOURCES (440=300+400),TOTAL RESOURCES (440=300+400),440,,"87,090,620,643,636","78,781,946,257,137",440.0,,,
