row_label_raw,row_label_full,Name of the Company,Place of incorporation and operation,Principal activities,At the end of the year > Proportion of ownership interest,At the end of the year > Proportion of voting power held,At the beginning of the year > Proportion of ownership interest,At the beginning of the year > Proportion of voting power held,numeric__Place of incorporation and operation,numeric__Principal activities,numeric__At the end of the year > Proportion of ownership interest,numeric__At the end of the year > Proportion of voting power held,numeric__At the beginning of the year > Proportion of ownership interest,numeric__At the beginning of the year > Proportion of voting power held
,,,,,%,%,%,%,,,,,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,,,,
PetroVietnam Low Pressure Gas Distribution Joint Stock Company,Subsidiaries > PetroVietnam Low Pressure Gas Distribution Joint Stock Company,PetroVietnam Low Pressure Gas Distribution Joint Stock Company,Ho Chi Minh City,Distributing low pressure gas,50.50%,50.50%,50.50%,50.50%,,,50.5,50.5,50.5,50.5
LNG Vietnam Joint Stock Company,Subsidiaries > LNG Vietnam Joint Stock Company,LNG Vietnam Joint Stock Company,Ho Chi Minh City,Manufacturing natural gas,51.00%,51.00%,51.00%,51.00%,,,51.0,51.0,51.0,51.0
PetroVietnam LPG Joint Stock Company,Subsidiaries > PetroVietnam LPG Joint Stock Company,PetroVietnam LPG Joint Stock Company,Ha Noi City,Distributing liquefied petroleum gas,51.31%,51.31%,51.31%,51.31%,,,51.31,51.31,51.31,51.31
PetroVietnam Coating Joint Stock Company,Subsidiaries > PetroVietnam Coating Joint Stock Company,PetroVietnam Coating Joint Stock Company,Ho Chi Minh City,Providing pipe coating services,52.94%,52.94%,52.94%,52.94%,,,52.94,52.94,52.94,52.94
CNG Vietnam Joint Stock Company,Subsidiaries > CNG Vietnam Joint Stock Company,CNG Vietnam Joint Stock Company,Ho Chi Minh City,Manufacturing natural gas,56.00%,56.00%,56.00%,56.00%,,,56.0,56.0,56.0,56.0
Son My LNG Terminal Limited Liability Company,Subsidiaries > Son My LNG Terminal Limited Liability Company,Son My LNG Terminal Limited Liability Company,Lam Dong Province,Processing natural gas,61.00%,61.00%,61.00%,61.00%,,,61.0,61.0,61.0,61.0
PetroVietnam Steel Pipe Joint Stock Company,Subsidiaries > PetroVietnam Steel Pipe Joint Stock Company,PetroVietnam Steel Pipe Joint Stock Company,Dong Thap Province,Manufacturing steel pipes,99.99%,99.99%,99.99%,99.99%,,,99.99,99.99,99.99,99.99
PetroVietnam Gas International Trading Company Pte. Ltd. (*),Subsidiaries > PetroVietnam Gas International Trading Company Pte. Ltd. (*),PetroVietnam Gas International Trading Company Pte. Ltd. (*),Singapore,Trading gas products,100.00%,100.00%,-,-,,,100.0,100.0,,
Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,Joint ventures and associates,,,,,,
PVGazprom Natural Gas for Vehicles Company Limited,Joint ventures and associates > PVGazprom Natural Gas for Vehicles Company Limited,PVGazprom Natural Gas for Vehicles Company Limited,Ho Chi Minh City,Trading gas,29.00%,29.00%,29.00%,29.00%,,,29.0,29.0,29.0,29.0
Southern Gas Trading Joint Stock Company,Joint ventures and associates > Southern Gas Trading Joint Stock Company,Southern Gas Trading Joint Stock Company,Ho Chi Minh City,Distributing liquefied petroleum gas,35.26%,35.26%,35.26%,35.26%,,,35.26,35.26,35.26,35.26
