row_label_raw,row_label_full,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"63,252,590,248,684","54,057,070,324,400",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,5,"4,994,571,701,559","3,555,225,811,429",110.0,5.0,,
1. Cash,1. Cash,1. Cash,111,,"394,571,701,559","855,225,811,429",111.0,,,
2. Cash equivalents,2. Cash equivalents,2. Cash equivalents,112,,"4,600,000,000,000","2,700,000,000,000",112.0,,,
II. Short-term financial investments,II. Short-term financial investments,II. Short-term financial investments,120,6,"31,564,871,326,330","25,981,047,224,416",120.0,6.0,,
1. Held-to-maturity investments,1. Held-to-maturity investments,1. Held-to-maturity investments,123,,"31,564,871,326,330","25,981,047,224,416",123.0,,,
III. Short-term receivables,III. Short-term receivables,III. Short-term receivables,130,,"22,353,223,767,096","20,045,602,897,653",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,7,"17,917,188,342,640","18,242,910,645,317",131.0,7.0,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,8,"43,023,056,012","340,128,211,226",132.0,8.0,,
3. Other short-term receivables,3. Other short-term receivables,3. Other short-term receivables,136,9,"6,993,341,968,364","4,523,515,561,223",136.0,9.0,,
4. Provision for short-term doubtful debts,4. Provision for short-term doubtful debts,4. Provision for short-term doubtful debts,137,10,"(2,600,329,599,920)","(3,060,951,520,113)",137.0,10.0,,
IV. Inventories,IV. Inventories,IV. Inventories,140,11,"3,666,069,027,467","4,132,781,697,983",140.0,11.0,,
1. Inventories,1. Inventories,1. Inventories,141,,"3,823,402,919,364","4,245,795,847,533",141.0,,,
2. Provision for devaluation of inventories,2. Provision for devaluation of inventories,2. Provision for devaluation of inventories,149,,"(157,333,891,897)","(113,014,149,550)",149.0,,,
V. Other short-term assets,V. Other short-term assets,V. Other short-term assets,150,,"673,854,426,232","342,412,692,919",150.0,,,
1. Short-term prepayments,1. Short-term prepayments,1. Short-term prepayments,151,12,"26,909,177,977","18,323,303,154",151.0,12.0,,
2. Value added tax deductibles,2. Value added tax deductibles,2. Value added tax deductibles,152,,"549,793,652,936","305,136,669,612",152.0,,,
3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,153,17,"97,151,595,319","18,952,720,153",153.0,17.0,,
B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,200,,"23,838,030,394,952","24,724,875,932,737",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"1,094,029,177,964","522,167,263,371",210.0,,,
1. Long-term advances to suppliers,1. Long-term advances to suppliers,1. Long-term advances to suppliers,212,,"66,106,076,719","70,495,232,935",212.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,9,"1,027,923,101,245","451,672,030,436",216.0,9.0,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"14,383,145,342,155","16,644,708,646,046",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,13,"14,069,739,585,913","16,341,486,733,669",221.0,13.0,,
- Cost,- Cost,- Cost,222,,"60,117,249,583,817","59,760,433,505,797",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(46,047,509,997,904)","(43,418,946,772,128)",223.0,,,
2. Intangible assets,2. Intangible assets,2. Intangible assets,227,14,"313,405,756,242","303,221,912,377",227.0,14.0,,
- Cost,- Cost,- Cost,228,,"582,079,697,309","558,471,089,979",228.0,,,
- Accumulated amortisation,- Accumulated amortisation,- Accumulated amortisation,229,,"(268,673,941,067)","(255,249,177,602)",229.0,,,
III. Long-term assets in progress,III. Long-term assets in progress,III. Long-term assets in progress,240,,"2,526,792,809,626","1,411,524,965,365",240.0,,,
1. Construction in progress,1. Construction in progress,1. Construction in progress,242,15,"2,526,792,809,626","1,411,524,965,365",242.0,15.0,,
IV. Long-term financial investments,IV. Long-term financial investments,IV. Long-term financial investments,250,6,"3,012,855,728,451","2,958,552,070,894",250.0,6.0,,
1. Investments in subsidiaries,1. Investments in subsidiaries,1. Investments in subsidiaries,251,,"3,756,037,870,394","3,745,870,071,633",251.0,,,
"2. Investments in joint ventures, associates","2. Investments in joint ventures, associates","2. Investments in joint ventures, associates",252,,"284,460,000,000","284,460,000,000",252.0,,,
3. Provision for impairment of long-term financial investments,3. Provision for impairment of long-term financial investments,3. Provision for impairment of long-term financial investments,254,,"(1,027,642,141,943)","(1,071,778,000,739)",254.0,,,
V. Other long-term assets,V. Other long-term assets,V. Other long-term assets,260,,"2,821,207,336,756","3,187,922,987,061",260.0,,,
1. Long-term prepayments,1. Long-term prepayments,1. Long-term prepayments,261,12,"2,821,207,336,756","3,187,922,987,061",261.0,12.0,,
TOTAL ASSETS (270=100+200),TOTAL ASSETS (270=100+200),TOTAL ASSETS (270=100+200),270,,"87,090,620,643,636","78,781,946,257,137",270.0,,,
