row_label_raw,row_label_full,Mr. Pham Van Phong,Chief Executive Officer,numeric__Chief Executive Officer
Mr. Huynh Quang Hai,Mr. Huynh Quang Hai,Mr. Huynh Quang Hai,Executive Officer,
Mr. Nguyen Phuc Tue,Mr. Nguyen Phuc Tue,Mr. Nguyen Phuc Tue,Executive Officer,
Mr. Nguyen Cong Luan,Mr. Nguyen Cong Luan,Mr. Nguyen Cong Luan,Executive Officer,
Mr. Hoang Trong Dung,Mr. Hoang Trong Dung,Mr. Hoang Trong Dung,Executive Officer,
Mr. Nguyen Minh Tuan,Mr. Nguyen Minh Tuan,Mr. Nguyen Minh Tuan,Executive Officer (appointed on 02 June 2025),
Mr. Tran Nhat Huy,Mr. Tran Nhat Huy,Mr. Tran Nhat Huy,Executive Officer (resigned on 30 May 2025),
