row_label_raw,row_label_full,col_0,Prior year,Prior year_1,numeric__Prior year,numeric__Prior year_1
,,,Reported amount,Restated amount,,
Profit after tax attributable to ordinary shareholders (VND),Profit after tax attributable to ordinary shareholders (VND),Profit after tax attributable to ordinary shareholders (VND),"10,142,841,846,967","10,142,841,846,967",,
Less: Allocation to Bonus and welfare funds (VND) (*),Less: Allocation to Bonus and welfare funds (VND) (*),Less: Allocation to Bonus and welfare funds (VND) (*),"(182,985,607,756)","(378,366,261,157)",,
Earnings for the purpose of calculating basis earnings per share (VND),Earnings for the purpose of calculating basis earnings per share (VND),Earnings for the purpose of calculating basis earnings per share (VND),"9,959,856,239,211","9,764,475,585,810",,
Weighted average number of ordinary shares to calculate basis earnings per share (share),Weighted average number of ordinary shares to calculate basis earnings per share (share),Weighted average number of ordinary shares to calculate basis earnings per share (share),"2,342,672,919","2,412,949,756",,
Basis earning per share (VND/share),Weighted average number of ordinary shares to calculate basis earnings per share (share) > Basis earning per share (VND/share),Basis earning per share (VND/share),"4,251","4,047",4.251,4.047
