row_label_raw,row_label_full,col_0,Years,numeric__Years
Land use rights with definite term,Land use rights with definite term,Land use rights with definite term,50,50.0
Computer software,Computer software,Computer software,03 - 06,
Other intangible assets,Computer software > Other intangible assets,Other intangible assets,03,3.0
