row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,Amount,Amount able to be paid off,Amount,Amount able to be paid off,,,,
,,,VND,VND,VND,VND,,,,
a. Trade payables to non-related parties,a. Trade payables to non-related parties,a. Trade payables to non-related parties,"4,807,055,835,383","4,807,055,835,383","2,908,960,404,730","2,908,960,404,730",,,,
"Wanhua Chemical (Singapore) Pte., Ltd","Wanhua Chemical (Singapore) Pte., Ltd","Wanhua Chemical (Singapore) Pte., Ltd","1,258,364,671,992","1,258,364,671,992",-,-,,,,
"Gunvor International B.V., Amsterdam, Geneva Branch","Gunvor International B.V., Amsterdam, Geneva Branch","Gunvor International B.V., Amsterdam, Geneva Branch","1,007,643,273,659","1,007,643,273,659",-,-,,,,
PetroChina International (Singapore) Pte. Ltd.,PetroChina International (Singapore) Pte. Ltd.,PetroChina International (Singapore) Pte. Ltd.,"988,716,368,013","988,716,368,013",-,-,,,,
SwissChemGas Ltd.,SwissChemGas Ltd.,SwissChemGas Ltd.,-,-,"1,678,370,132,442","1,678,370,132,442",,,,
Others,Others,Others,"1,552,331,521,719","1,552,331,521,719","1,230,590,272,288","1,230,590,272,288",,,,
b. Trade payables to significant related parties (Details stated in Note 36),b. Trade payables to significant related parties (Details stated in Note 36),b. Trade payables to significant related parties (Details stated in Note 36),"4,181,870,597,989","4,181,870,597,989","2,718,112,067,217","2,718,112,067,217",,,,
,,,"8,988,926,433,372","8,988,926,433,372","5,627,072,471,947","5,627,072,471,947",,,,
