row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,112.249.363.657.413,99.401.751.288.148,1.0,27.0,112249363657413.0,99401751288148.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,112.249.363.657.413,99.401.751.288.148,10.0,,112249363657413.0,99401751288148.0
3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,11,28,96.923.884.241.759,83.311.867.096.527,11.0,28.0,96923884241759.0,83311867096527.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,15.325.479.415.654,16.089.884.191.621,20.0,,15325479415654.0,16089884191621.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,30,1.630.110.016.176,1.794.148.520.947,21.0,30.0,1630110016176.0,1794148520947.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,31,300.426.040.144,714.085.858.180,22.0,31.0,300426040144.0,714085858180.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,185.837.047.236,310.319.540.421,23.0,,185837047236.0,310319540421.0
7. Chi phí bàn hàng,7. Chi phí bàn hàng,7. Chi phí bàn hàng,25,32,1.731.027.699.677,1.694.376.849.172,25.0,32.0,1731027699677.0,1694376849172.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,32,965.698.210.095,2.877.124.549.264,26.0,32.0,965698210095.0,2877124549264.0
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,13.958.437.481.914,12.598.445.455.952,30.0,,13958437481914.0,12598445455952.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,55.831.920.537,40.271.277.331,31.0,,55831920537.0,40271277331.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,64.176.366.507,23.747.949.909,32.0,,64176366507.0,23747949909.0
12. (Lỗ)/lợi nhuận khác (40=31-32),12. (Lỗ)/lợi nhuận khác (40=31-32),12. (Lỗ)/lợi nhuận khác (40=31-32),40,,(8.344.445.970),16.523.327.422,40.0,,-8344445970.0,16523327422.0
13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,13.950.093.035.944,12.614.968.783.374,50.0,,13950093035944.0,12614968783374.0
14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,2.716.378.557.735,2.472.126.936.407,51.0,33.0,2716378557735.0,2472126936407.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,11.233.714.478.209,10.142.841.846.967,60.0,,11233714478209.0,10142841846967.0
16. Lãi cơ bản trên có phiếu,16. Lãi cơ bản trên có phiếu,16. Lãi cơ bản trên có phiếu,70,34,4.578,4.047,70.0,34.0,4578.0,4047.0
