row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term trade receivables from non-related parties,a. Short-term trade receivables from non-related parties,a. Short-term trade receivables from non-related parties,"10,070,245,782,082","10,220,248,081,120",,
Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,Phu My Thermal Power Company - Branch of Power Generation Corporation 3 - Joint Stock Company,"1,807,958,015,117","1,739,993,982,128",,
Tran Hong Quan Petroleum Company Limited,Tran Hong Quan Petroleum Company Limited,Tran Hong Quan Petroleum Company Limited,"1,550,460,929,794","581,197,066,994",,
"Mitsui & Co., Ltd.","Mitsui & Co., Ltd.","Mitsui & Co., Ltd.","963,557,037,200",-,,
Vielpetrol Energy Joint Stock Company,Vielpetrol Energy Joint Stock Company,Vielpetrol Energy Joint Stock Company,"616,900,682,148","783,211,504,419",,
Petrolimex Gas Corporation - Joint Stock Company,Petrolimex Gas Corporation - Joint Stock Company,Petrolimex Gas Corporation - Joint Stock Company,"548,888,704,753","422,476,279,156",,
Venus Gas Company Limited,Venus Gas Company Limited,Venus Gas Company Limited,"545,632,820,948","889,851,457,494",,
Mekong Energy Company (*),Mekong Energy Company (*),Mekong Energy Company (*),-,"1,167,715,968,932",,
Phu My 3 BOT Power Company Ltd (*),Phu My 3 BOT Power Company Ltd (*),Phu My 3 BOT Power Company Ltd (*),-,"888,333,195,622",,
Others,Others,Others,"4,036,847,592,122","3,747,468,626,375",,
b. Short-term trade receivables from significant related parties (Details stated in Note 36),b. Short-term trade receivables from significant related parties (Details stated in Note 36),b. Short-term trade receivables from significant related parties (Details stated in Note 36),"7,846,942,560,558","8,022,662,564,197",,
,,,"17,917,188,342,640","18,242,910,645,317",,
