row_label_raw,row_label_full,"Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội","Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội_1","Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > 01/01/2015 > Giá trị","Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > 01/01/2015 > Số có khả năng trả nợ","Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > Trong năm > Tăng","Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > Trong năm > Giảm",Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2015 > 31/12/2015 > Giá trị,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2015 > 31/12/2015 > Số có khả năng trả nợ,"numeric__Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội_1","numeric__Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > 01/01/2015 > Giá trị","numeric__Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > 01/01/2015 > Số có khả năng trả nợ","numeric__Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > Trong năm > Tăng","numeric__Số 52 Phố Lê Đại Hành, Phường Lê Đại Hành,Quận Hai Bà Trung, Thành phố Hà Nội > Trong năm > Giảm",numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2015 > 31/12/2015 > Giá trị,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2015 > 31/12/2015 > Số có khả năng trả nợ
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Vay ngắn hạn,,,,,,,,,,,,,
,,,- Vay ngắn hạn ngân hàng,762.748.904.787,762.748.904.787,1.428.148.009.127,1.712.814.293.991,478.082.619.923,478.082.619.923,,762748904787.0,762748904787.0,1428148009127.0,1712814293991.0,478082619923.0,478082619923.0
,,,- Vay ngắn hạn tổ chức,-,-,3.800.000.000,3.800.000.000,-,-,,,,3800000000.0,3800000000.0,,
,,,- Vay ngắn hạn cá nhân,29.052.953.090,29.052.953.090,38.098.812.208,55.308.220.243,11.843.545.055,11.843.545.055,,29052953090.0,29052953090.0,38098812208.0,55308220243.0,11843545055.0,11843545055.0
,,,- Vay dài hạn đến hạn trả ngân hàng,260.255.772,260.255.772,-,260.255.772,-,-,,260255772.0,260255772.0,,260255772.0,,
,,,- Vay dài hạn đến hạn trả Công ty Đầu tư Tài chính Nhà Nước,14.188.000.000,14.188.000.000,14.188.000.000,14.188.000.000,14.188.000.000,14.188.000.000,,14188000000.0,14188000000.0,14188000000.0,14188000000.0,14188000000.0,14188000000.0
,,,,806.250.113.649,806.250.113.649,1.484.234.821.335,1.786.370.770.006,504.114.164.978,504.114.164.978,,806250113649.0,806250113649.0,1484234821335.0,1786370770006.0,504114164978.0,504114164978.0
b),b),b),Vay dài hạn,,,,,,,,,,,,,
,,,- Vay dài hạn Công ty Đầu tư Tài chính Nhà Nước,42.568.689.000,42.568.689.000,-,14.188.000.000,28.380.689.000,28.380.689.000,,42568689000.0,42568689000.0,,14188000000.0,28380689000.0,28380689000.0
,,,- Vay dài hạn Ngân hàng,260.255.772,260.255.772,3.020.500.000,260.255.772,3.020.500.000,3.020.500.000,,260255772.0,260255772.0,3020500000.0,260255772.0,3020500000.0,3020500000.0
,,,,42.828.944.772,42.828.944.772,3.020.500.000,14.448.255.772,31.401.189.000,31.401.189.000,,42828944772.0,42828944772.0,3020500000.0,14448255772.0,31401189000.0,31401189000.0
,,,Khoản nợ đến hạn trả trong vòng 12 tháng,(14.448.255.772),(14.448.255.772),(14.188.000.000),(14.448.255.772),(14.188.000.000),(14.188.000.000),,-14448255772.0,-14448255772.0,-14188000000.0,-14448255772.0,-14188000000.0,-14188000000.0
,,,Khoản nợ đến hạn trả sau 12 tháng,28.380.689.000,28.380.689.000,,,17.213.189.000,17.213.189.000,,28380689000.0,28380689000.0,,,17213189000.0,17213189000.0
