row_label_raw,row_label_full,Tại ngày 31/12/2015,Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2015,Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2015,Trên 5 nămVND > Tại ngày 31/12/2015,CộngVND > Tại ngày 31/12/2015,numeric__Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2015,numeric__Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2015,numeric__Trên 5 nămVND > Tại ngày 31/12/2015,numeric__CộngVND > Tại ngày 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,518.493.494.834,-,-,518.493.494.834,518493494834.0,,,518493494834.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",930.061.311.071,395.000.000,-,930.456.311.071,930061311071.0,395000000.0,,930456311071.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,481.627.083.589,-,-,481.627.083.589,481627083589.0,,,481627083589.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,7.956.372.800,-,7.956.372.800,,7956372800.0,,7956372800.0
,,,1.930.181.889.494,8.351.372.800,-,1.938.533.262.294,1930181889494.0,8351372800.0,,1938533262294.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,770.927.664.834,-,-,770.927.664.834,770927664834.0,,,770927664834.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",948.391.107.870,8.066.048.000,-,956.457.155.870,948391107870.0,8066048000.0,,956457155870.0
Các khoản cho vay,Tại ngày 01/01/2015 > Các khoản cho vay,Các khoản cho vay,288.210.857.173,457.724.476,-,288.668.581.649,288210857173.0,457724476.0,,288668581649.0
Đầu tư dài hạn,Tại ngày 01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,7.507.116.800,-,7.507.116.800,,7507116800.0,,7507116800.0
,,,2.007.529.629.877,16.030.889.276,-,2.023.560.519.153,2007529629877.0,16030889276.0,,2023560519153.0
