row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2015,01/01/2015,numeric__Mối quan hệ,numeric__31/12/2015,numeric__01/01/2015
,,,Mối quan hệ,VND,VND,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,28.442.067.021,3.201.857.600,,28442067021.0,3201857600.0
Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty liên kết,4.296.396.172,3.201.857.600,,4296396172.0,3201857600.0
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,19.260.669.510,-,,19260669510.0,
Công ty CP Thiết bị điện,Công ty CP Thiết bị điện,Công ty CP Thiết bị điện,Công ty liên kết,4.885.001.339,-,,4885001339.0,
Phải thu vốn cho vay,Phải thu vốn cho vay,Phải thu vốn cho vay,,32.885.120.000,22.885.120.000,,32885120000.0,22885120000.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty liên kết,12.385.120.000,12.385.120.000,,12385120000.0,12385120000.0
Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty liên kết,4.500.000.000,4.500.000.000,,4500000000.0,4500000000.0
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,16.000.000.000,6.000.000.000,,16000000000.0,6000000000.0
Phải thu lãi cho vay vốn,Phải thu lãi cho vay vốn,Phải thu lãi cho vay vốn,,2.195.706.096,1.349.265.563,,2195706096.0,1349265563.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty liên kết,1.917.372.763,1.174.265.563,,1917372763.0,1174265563.0
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,278.333.333,175.000.000,,278333333.0,175000000.0
Phải trả tiền hàng,Phải trả tiền hàng,Phải trả tiền hàng,,95.298.974.007,123.193.260.639,,95298974007.0,123193260639.0
Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty liên kết,107.520.000,-,,107520000.0,
Công ty Dây Đồng Việt Nam - CFT,Công ty Dây Đồng Việt Nam - CFT,Công ty Dây Đồng Việt Nam - CFT,Công ty liên doanh,94.473.185.907,123.193.260.639,,94473185907.0,123193260639.0
Công ty CP Thiết bị điện,Công ty CP Thiết bị điện,Công ty CP Thiết bị điện,Công ty liên kết,718.268.100,-,,718268100.0,
Ứng trước tiền hàng,Ứng trước tiền hàng,Ứng trước tiền hàng,,5.813.037.664,-,,5813037664.0,
Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty liên kết,77.977.562,-,,77977562.0,
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,5.735.060.102,-,,5735060102.0,
Phải thu khác,Phải thu khác,Phải thu khác,,1.000.000,130.586.149,,1000000.0,130586149.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungary,Công ty liên kết,1.000.000,1.000.000,,1000000.0,1000000.0
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,-,129.586.149,,,129586149.0
Phải trả khác,Phải trả khác,Phải trả khác,,16.699.815.109,-,,16699815109.0,
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty liên kết,16.699.815.109,-,,16699815109.0,
Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,,,
,,,,Năm 2015,Năm 2014,,,
,,,,VND,VND,,,
Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,Giao dịch với các bên liên quan khác như sau: > Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,,4.321.100.000,4.066.000.000,,4321100000.0,4066000000.0
