row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoài,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoài,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.400.000.000.000,-,47.513.826.624,(5.025.000.000),819.607.405,64.580.464.743,186.096.715,571.636.332.758,451.373.236.710,2.531.084.564.955,1400000000000.0,,47513826624.0,-5025000000.0,819607405.0,64580464743.0,186096715.0,571636332758.0,451373236710.0,2531084564955.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,318.432.076.859,129.793.140.697,448.225.217.556,,,,,,,,318432076859.0,129793140697.0,448225217556.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,43.282.286.166,145.555.599,(83.097.049.954),(20.304.326.920),(59.973.535.109),,,,,,43282286166.0,145555599.0,-83097049954.0,-20304326920.0,-59973535109.0
Chi trả cổ tức tại Công ty mẹ,Chi trả cổ tức tại Công ty mẹ,Chi trả cổ tức tại Công ty mẹ,-,-,-,-,-,-,-,(167.400.000.000),-,(167.400.000.000),,,,,,,,-167400000000.0,,-167400000000.0
Chi trả cổ tức tại Công ty con,Chi trả cổ tức tại Công ty con,Chi trả cổ tức tại Công ty con,-,-,-,-,-,-,-,-,(69.975.746.000),(69.975.746.000),,,,,,,,,-69975746000.0,-69975746000.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,(2.100.000.000),140.436.625,-,-,5.987.574.849,42.063.509.029,46.091.520.503,,,,-2100000000.0,140436625.0,,,5987574849.0,42063509029.0,46091520503.0
Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,-,-,-,-,-,-,-,(15.913.913.084),15.913.913.084,-,,,,,,,,-15913913084.0,15913913084.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,(133.259.806),(205.846.091),-,(339.105.897),,,,,,,-133259806.0,-205846091.0,,-339105897.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.400.000.000.000,-,47.513.826.624,(7.125.000.000),960.044.030,107.862.750.909,198.392.508,629.439.175.337,548.863.726.600,2.727.712.916.008,1400000000000.0,,47513826624.0,-7125000000.0,960044030.0,107862750909.0,198392508.0,629439175337.0,548863726600.0,2727712916008.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.400.000.000.000,-,47.513.826.624,(7.125.000.000),960.044.030,107.862.750.909,198.392.508,629.439.175.337,548.863.726.600,2.727.712.916.008,1400000000000.0,,47513826624.0,-7125000000.0,960044030.0,107862750909.0,198392508.0,629439175337.0,548863726600.0,2727712916008.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,150.000.000.000,66.378.000.000,-,-,-,-,-,-,-,216.378.000.000,150000000000.0,66378000000.0,,,,,,,,216378000000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,-,-,-,321.109.975.563,134.886.510.329,455.996.485.892,,,,,,,,321109975563.0,134886510329.0,455996485892.0
Phân phối lợi nhuận của mẹ,Phân phối lợi nhuận của mẹ,Phân phối lợi nhuận của mẹ,-,-,-,-,-,29.500.000.000,-,(45.655.000.000),-,(16.155.000.000),,,,,,29500000000.0,,-45655000000.0,,-16155000000.0
Phân phối lợi nhuận của các công ty con,Phân phối lợi nhuận của các công ty con,Phân phối lợi nhuận của các công ty con,-,-,-,-,-,8.981.561.604,-,(22.646.866.490),(8.405.162.687),(22.070.467.573),,,,,,8981561604.0,,-22646866490.0,-8405162687.0,-22070467573.0
Chi trả cổ tức của mẹ,Chi trả cổ tức của mẹ,Chi trả cổ tức của mẹ,-,-,-,-,-,-,-,(167.400.000.000),-,(167.400.000.000),,,,,,,,-167400000000.0,,-167400000000.0
Chi trả cổ tức của các công ty con,Chi trả cổ tức của các công ty con,Chi trả cổ tức của các công ty con,-,-,-,-,-,-,-,-,(63.560.472.904),(63.560.472.904),,,,,,,,,-63560472904.0,-63560472904.0
Ảnh hưởng khi công ty con tăng vốn,Ảnh hưởng khi công ty con tăng vốn,Ảnh hưởng khi công ty con tăng vốn,-,-,-,-,-,(1.756.701.142),-,(1.131.258.777),13.106.839.919,10.218.880.000,,,,,,-1756701142.0,,-1131258777.0,13106839919.0,10218880000.0
Ảnh hưởng khi chuyển công ty con thành liên kết,Ảnh hưởng khi chuyển công ty con thành liên kết,Ảnh hưởng khi chuyển công ty con thành liên kết,-,-,(463.112.454),2.100.000.000,(838.620.418),(21.149.044.647),(198.392.508),30.577.383.041,(169.558.509.139),(159.530.296.125),,,-463112454.0,2100000000.0,-838620418.0,-21149044647.0,-198392508.0,30577383041.0,-169558509139.0,-159530296125.0
Chuyển đổi báo cáo,Chuyển đổi báo cáo,Chuyển đổi báo cáo,-,-,-,-,(37.047.279),-,-,6.992.555,-,(30.054.724),,,,,-37047279.0,,,6992555.0,,-30054724.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.550.000.000.000,66.378.000.000,47.050.714.170,(5.025.000.000),84.376.333,123.438.566.724,-,744.300.401.229,455.332.932.118,2.981.559.990.574,1550000000000.0,66378000000.0,47050714170.0,-5025000000.0,84376333.0,123438566724.0,,744300401229.0,455332932118.0,2981559990574.0
