row_label_raw,row_label_full,Ông Nguyễn Trọng Tiểu,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Tiến Vinh,Ông Nguyễn Tiến Vinh,Ông Nguyễn Tiến Vinh,Phó Tổng Giám đốc,
Ông Đỗ Văn Chính,Ông Đỗ Văn Chính,Ông Đỗ Văn Chính,Phó Tổng Giám đốc,
Ông Phạm Tuân Anh,Ông Phạm Tuân Anh,Ông Phạm Tuân Anh,Giám đốc Tài chính kiểm Kế toán trường,
