row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH HỮU HÌNH,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,numeric__TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6
,,,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Cộng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,576.902.579.836,811.382.480.627,100.157.427.746,24.257.405.004,80.400.000,1.512.780.293.213,576902579836.0,811382480627.0,100157427746.0,24257405004.0,80400000.0,1512780293213.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,28.298.987.218,75.162.639.036,18.324.916.272,848.956.726,-,122.635.499.253,28298987218.0,75162639036.0,18324916272.0,848956726.0,,122635499253.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,246.018.606.012,21.421.205.960,837.233.638,82.811.532.777,-,351.088.578.387,246018606012.0,21421205960.0,837233638.0,82811532777.0,,351088578387.0
- Tăng do chuyển đổi báo cáo,Nguyên giá > - Tăng do chuyển đổi báo cáo,- Tăng do chuyển đổi báo cáo,-,-,39.487.500,2.406.293,-,41.893.793,,,39487500.0,2406293.0,,41893793.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(804.532.536),(2.727.854.819),(1.036.594.919),-,-,(4.568.982.274),-804532536.0,-2727854819.0,-1036594919.0,,,-4568982274.0
- Giảm do chuyển công ty con thành Công ty liên kết,Nguyên giá > - Giảm do chuyển công ty con thành Công ty liên kết,- Giảm do chuyển công ty con thành Công ty liên kết,(95.460.396.219),(142.339.357.958),(23.150.877.493),(5.051.458.568),(80.400.000),(266.082.490.238),-95460396219.0,-142339357958.0,-23150877493.0,-5051458568.0,-80400000.0,-266082490238.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(370.567.787),-,-,-,-,(370.567.787),-370567787.0,,,,,-370567787.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,-,970.365.811,(875.960.811),(94.405.000),-,-,,970365811.0,-875960811.0,-94405000.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,754.584.676.524,763.869.478.657,94.295.631.934,102.774.437.232,-,1.715.524.224.347,754584676524.0,763869478657.0,94295631934.0,102774437232.0,,1715524224347.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,258.136.654.812,494.114.902.908,65.296.205.850,20.042.343.679,80.400.000,837.670.507.249,258136654812.0,494114902908.0,65296205850.0,20042343679.0,80400000.0,837670507249.0
