row_label_raw,row_label_full,col_0,Giá trị quyềnsử dụng đất (*),Phần mềm máytính,Tài sản cố địnhvô hình khác,Cộng,numeric__Giá trị quyềnsử dụng đất (*),numeric__Phần mềm máytính,numeric__Tài sản cố địnhvô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,79.437.072.507,2.777.471.665,2.648.639.426,84.863.183.598,79437072507.0,2777471665.0,2648639426.0,84863183598.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,6.067.200.000,-,6.067.200.000,,6067200000.0,,6067200000.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(47.381.873),-,(47.381.873),,-47381873.0,,-47381873.0
- Giảm do chuyển đổi côngty con thành liên kết,Nguyên giá > - Giảm do chuyển đổi côngty con thành liên kết,- Giảm do chuyển đổi côngty con thành liên kết,(20.529.754.848),(1.533.694.725),-,(22.063.449.573),-20529754848.0,-1533694725.0,,-22063449573.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,58.907.317.659,7.263.595.067,2.648.639.426,68.819.552.152,58907317659.0,7263595067.0,2648639426.0,68819552152.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.818.668.105,1.867.475.422,1.221.625.013,9.907.768.540,6818668105.0,1867475422.0,1221625013.0,9907768540.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.033.159.048,1.631.158.051,163.012.158,2.827.329.257,1033159048.0,1631158051.0,163012158.0,2827329257.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(47.381.873),-,(47.381.873),,-47381873.0,,-47381873.0
- Giảm do chuyển đổi công tycon thành liên kết,Giá trị hao mòn lũy kế > - Giảm do chuyển đổi công tycon thành liên kết,- Giảm do chuyển đổi công tycon thành liên kết,-,(699.707.092),-,(699.707.092),,-699707092.0,,-699707092.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.851.827.153,2.751.544.508,1.384.637.171,11.988.008.832,7851827153.0,2751544508.0,1384637171.0,11988008832.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,72.618.404.402,909.996.243,1.427.014.413,74.955.415.058,72618404402.0,909996243.0,1427014413.0,74955415058.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,51.055.490.506,4.512.050.559,1.264.002.255,56.831.543.320,51055490506.0,4512050559.0,1264002255.0,56831543320.0
