row_label_raw,row_label_full,Mã số,Tên khoản mục,Số tiền,Mã số_1,Tên khoản mục_1,Số tiền_1,Thay đổi,numeric__Tên khoản mục,numeric__Số tiền,numeric__Mã số_1,numeric__Tên khoản mục_1,numeric__Số tiền_1,numeric__Thay đổi
411,411,411,1. Vốn đầu tư của chủ sở hữu,1.400.000.000.000,411,1. Vốn góp của chủ sở hữu,1.400.000.000.000,-,,1400000000000.0,411.0,,1400000000000.0,
411,411,411,1. Vốn đầu tư của chủ sở hữu,1.400.000.000.000,411a,- Cổ phiếu phổ thông có quyền biểu quyết,1.400.000.000.000,-,,1400000000000.0,,,1400000000000.0,
417,417,417,7. Quỹ đầu tư phát triển,60.910.599.947,418,8. Quỹ đầu tư phát triển,107.862.750.909,46.952.150.962,,60910599947.0,418.0,,107862750909.0,46952150962.0
418,418,418,8. Quỹ dự phòng tài chính,46.952.150.962,,,,(46.952.150.962),,46952150962.0,,,,-46952150962.0
419,419,419,9. Quỹ khác thuộc vốn chủ sở hữu,198.392.508,420,10. Quỹ khác thuộc vốn chủ sở hữu,198.392.508,-,,198392508.0,420.0,,198392508.0,
420,420,420,10. Lợi nhuận sau thuế chưa phân phối,629.439.175.337,421,11. Lợi nhuận sau thuế chưa phân phối,629.439.175.337,-,,629439175337.0,421.0,,629439175337.0,
420,420,420,10. Lợi nhuận sau thuế chưa phân phối,629.439.175.337,421a,- LNST chưa phân phối lũy kế đến cuối kỳ trước,311.007.098.478,-,,629439175337.0,,,311007098478.0,
420,420,420,10. Lợi nhuận sau thuế chưa phân phối,629.439.175.337,421b,- LNST chưa phân phối kỳ này,318.432.076.859,-,,629439175337.0,,,318432076859.0,
420,420,420,10. Lợi nhuận sau thuế chưa phân phối,629.439.175.337,429,12. Lợi ích cổ đông không kiểm soát,548.863.726.600,548.863.726.600,,629439175337.0,429.0,,548863726600.0,548863726600.0
439,439,439,C. LQI I CH CỔ ĐÔNG THIỀU SỐ,548.863.726.600,,,,(548.863.726.600),,548863726600.0,,,,-548863726600.0
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,24,"8. Phản lãi hoặc lỗ trong công ty liên doanh, liên kết",44.203.620.719,44.203.620.719,,,24.0,,44203620719.0,44203620719.0
45,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 45,45,"14. Phần lãi (lỗ) trong công ty liên kết, liên doanh",44.203.620.719,,,,(44.203.620.719),,44203620719.0,,,,-44203620719.0
60,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,448.225.217.556,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,448.225.217.556,-,,448225217556.0,60.0,,448225217556.0,
61,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 61,61,18.1. Lợi nhuận sau thuế của cổ đông thiểu số,129.793.140.697,62,20. Lợi nhuận sau thuế của Cổ đông không kiểm soát,448.703.140.697,-,,129793140697.0,62.0,,448703140697.0,
