row_label_raw,row_label_full,col_0,Nguyên nhân xóa số,Năm xóa số,31/12/2018 VND,1/1/2018 VND,numeric__Nguyên nhân xóa số,numeric__Năm xóa số,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Phải thu Công ty Cổ phần,Phải thu Công ty Cổ phần,Phải thu Công ty Cổ phần,Không có,,,,,,,
Dệt May Hapaco Hải Phòng,Phải thu Công ty Cổ phần > Dệt May Hapaco Hải Phòng,Dệt May Hapaco Hải Phòng,khả năng thu hồi,2011,6.193.939.787,6.193.939.787,,2011.0,6193939787.0,6193939787.0
Phải thu Công ty TNHH,Phải thu Công ty TNHH,Phải thu Công ty TNHH,Không có,,,,,,,
Một thành viên Đệt 19-5 Hà Nội,Phải thu Công ty TNHH > Một thành viên Đệt 19-5 Hà Nội,Một thành viên Đệt 19-5 Hà Nội,khả năng thu hồi,2011,4.220.231.656,4.220.231.656,,2011.0,4220231656.0,4220231656.0
Phải thu các đối tượng khác,Phải thu Công ty TNHH > Phải thu các đối tượng khác,Phải thu các đối tượng khác,,,15.622.379.174,14.234.657.116,,,15622379174.0,14234657116.0
,,,,,26.036.550.617,24.648.828.559,,,26036550617.0,24648828559.0
