row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.115.569.267.619,4.408.948.896.675,185.565.871.178,52.048.728.271,81.451.862.264,5.843.584.626.007,1115569267619.0,4408948896675.0,185565871178.0,52048728271.0,81451862264.0,5843584626007.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,159.854.327.671,633.800.053.094,34.143.396.681,7.888.006.451,16.989.850.561,852.675.634.458,159854327671.0,633800053094.0,34143396681.0,7888006451.0,16989850561.0,852675634458.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,5.765.324.717,-,-,-,5.765.324.717,,5765324717.0,,,,5765324717.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(168.848.871),(9.282.292.592),(42.000.000),(1.467.178.590),-,(10.960.320.053),-168848871.0,-9282292592.0,-42000000.0,-1467178590.0,,-10960320053.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.412.156.279),(137.078.749.206),(13.039.707.007),(6.298.253.356),(854.138.503),(158.683.004.351),-1412156279.0,-137078749206.0,-13039707007.0,-6298253356.0,-854138503.0,-158683004351.0
Giảm do thoái vốn đầu tư vào các công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,(22.174.595.255),(44.869.365.400),(4.508.593.360),(731.998.354),(2.214.385.329),(74.498.937.698),-22174595255.0,-44869365400.0,-4508593360.0,-731998354.0,-2214385329.0,-74498937698.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(731.017.716),2.775.524.385,(3.317.888.329),1.697.440.689,(424.059.029),-,-731017716.0,2775524385.0,-3317888329.0,1697440689.0,-424059029.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.250.936.977.169,4.860.059.391.673,198.801.079.163,53.136.745.111,94.949.129.964,6.457.883.323.080,1250936977169.0,4860059391673.0,198801079163.0,53136745111.0,94949129964.0,6457883323080.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.198.623.240.331,3.950.858.087.672,137.402.055.352,41.767.788.005,64.398.796.720,6.393.049.968.080,2198623240331.0,3950858087672.0,137402055352.0,41767788005.0,64398796720.0,6393049968080.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.501.118.475.220,4.400.083.358.985,164.266.755.362,44.802.585.757,67.900.485.960,7.178.171.661.284,2501118475220.0,4400083358985.0,164266755362.0,44802585757.0,67900485960.0,7178171661284.0
