row_label_raw,row_label_full,STT > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 31/12/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 1/1/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 31/12/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 1/1/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 31/12/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 1/1/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 31/12/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 1/1/2018 > Công ty liên kết của Tập đoàn Đệt May Việt Nam
1,1,1,Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",50.400.000.000,50.400.000.000,,0.27690000000000003,0.27690000000000003,50400000000.0,50400000000.0
2,2,2,Tổng Công ty May Đức Giang – CTCP,"35,20%","35,20%",25.287.630.000,25.287.630.000,,0.35200000000000004,0.35200000000000004,25287630000.0,25287630000.0
3,3,3,Công ty CP May Hưng Yên,"35,01%","35,01%",47.434.460.000,47.434.460.000,,0.35009999999999997,0.35009999999999997,47434460000.0,47434460000.0
4,4,4,Công ty CP May Bình Minh,"25,00%","25,00%",13.230.000.000,9.450.000.000,,0.25,0.25,13230000000.0,9450000000.0
5,5,5,Công ty CP May Hữu Nghị,"29,24%","29,24%",34.766.360.000,34.766.360.000,,0.2924,0.2924,34766360000.0,34766360000.0
6,6,6,Công ty CP May Đồng Nai,"25,70%","25,70%",28.108.080.000,28.108.080.000,,0.257,0.257,28108080000.0,28108080000.0
7,7,7,Công ty CP Vinatex OJ,"35,00%","35,00%",10.143.000.000,10.143.000.000,,0.35,0.35,10143000000.0,10143000000.0
8,8,8,Công ty CP May Chiến Thắng,"21,99%","21,99%",6.120.000.000,6.120.000.000,,0.21989999999999998,0.21989999999999998,6120000000.0,6120000000.0
9,9,9,Công ty CP Vinatex Đà Nẵng,"30,00%","30,00%",9.000.000.000,9.000.000.000,,0.3,0.3,9000000000.0,9000000000.0
10,10,10,Công ty CP May Đáp Cầu,"24,04%","24,04%",12.621.000.000,12.621.000.000,,0.2404,0.2404,12621000000.0,12621000000.0
