row_label_raw,row_label_full,col_0,31/12/2018 > Tỷ lệ % sở hữu,31/12/2018 > Tỷ lệ % quyền biểu quyết,31/12/2018 > Giá trị ghi số theo phương pháp vốn chủ VND,31/12/2018 > Giá trị hợp lý VND,31/12/2018 > Tỷ lệ % sở hữu_1,1/1/2018 > Tỷ lệ % quyền biểu quyết,1/1/2018 > Giá trị ghi số theo phương pháp vốn chủ VND,1/1/2018 > Giá trị hợp lý VND,numeric__31/12/2018 > Tỷ lệ % sở hữu,numeric__31/12/2018 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2018 > Giá trị ghi số theo phương pháp vốn chủ VND,numeric__31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2018 > Tỷ lệ % sở hữu_1,numeric__1/1/2018 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2018 > Giá trị ghi số theo phương pháp vốn chủ VND,numeric__1/1/2018 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,
▪ Tổng Công ty May 10 - CTCP,Công ty liên kết > ▪ Tổng Công ty May 10 - CTCP,▪ Tổng Công ty May 10 - CTCP,"33,82%","33,82%",64.199.589.933,(*),"33,82%","33,82%",63.109.850.824,(*),0.3382,0.3382,64199589933.0,,0.3382,0.3382,63109850824.0,
▪ Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > ▪ Tổng Công ty Cổ phần May Việt Tiến,▪ Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",388.508.188.710,(*),"30,40%","30,40%",358.401.200.761,(*),0.304,0.304,388508188710.0,,0.304,0.304,358401200761.0,
▪ Tổng Công ty Việt Thắng - CTCP,Công ty liên kết > ▪ Tổng Công ty Việt Thắng - CTCP,▪ Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",133.278.207.241,(*),"46,93%","46,93%",191.737.465.836,(*),0.4693,0.4693,133278207241.0,,0.4693,0.4693,191737465836.0,
▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,"27,00%","27,00%",30.532.399.417,(*),"27,00%","27,00%",30.072.867.458,(*),0.27,0.27,30532399417.0,,0.27,0.27,30072867458.0,
▪ Tổng Công ty May Nhà Bè - CTCP,Công ty liên kết > ▪ Tổng Công ty May Nhà Bè - CTCP,▪ Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",89.723.687.471,(*),"27,69%","27,69%",87.465.848.519,(*),0.27690000000000003,0.27690000000000003,89723687471.0,,0.27690000000000003,0.27690000000000003,87465848519.0,
▪ Công ty Cổ phần May Đức Giang,Công ty liên kết > ▪ Công ty Cổ phần May Đức Giang,▪ Công ty Cổ phần May Đức Giang,"35,20%","35,20%",45.042.195.764,(*),"35,20%","35,20%",41.480.458.036,(*),0.35200000000000004,0.35200000000000004,45042195764.0,,0.35200000000000004,0.35200000000000004,41480458036.0,
▪ Công ty Cổ phần May Hưng Yên,Công ty liên kết > ▪ Công ty Cổ phần May Hưng Yên,▪ Công ty Cổ phần May Hưng Yên,"35,01%","35,01%",114.913.854.882,(*),"35,01%","35,01%",98.233.343.941,(*),0.35009999999999997,0.35009999999999997,114913854882.0,,0.35009999999999997,0.35009999999999997,98233343941.0,
▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty liên kết > ▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,"40,40%","40,40%",85.375.621.301,(*),"30,00%","30,00%",85.229.836.420,(*),0.40399999999999997,0.40399999999999997,85375621301.0,,0.3,0.3,85229836420.0,
▪ Công ty TNHH Coats Phong Phú,Công ty liên kết > ▪ Công ty TNHH Coats Phong Phú,▪ Công ty TNHH Coats Phong Phú,"17,86%","17,86%",432.023.595.402,(*),"17,86%","17,86%",353.406.378.107,(*),0.17859999999999998,0.17859999999999998,432023595402.0,,0.17859999999999998,0.17859999999999998,353406378107.0,
▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,Công ty liên kết > ▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"22,05%","22,05%",141.253.222.287,(*),"22,05%","22,05%",142.760.307.656,(*),0.2205,0.2205,141253222287.0,,0.2205,0.2205,142760307656.0,
▪ Các khoản đầu tư tại công ty liên kết khác,Công ty liên kết > ▪ Các khoản đầu tư tại công ty liên kết khác,▪ Các khoản đầu tư tại công ty liên kết khác,,,394.534.396.892,(*),,,436.709.316.701,(*),,,394534396892.0,,,,436709316701.0,
,,,,,1.919.384.959.300,,,,1.888.606.874.259,,,,1919384959300.0,,,,1888606874259.0,
