row_label_raw,row_label_full,col_0,Chi phí trước hoạt động VND,Chi phí đất trả trước VND,"Chi phí thuê văn phòng, nhà máy trả trước VND","Công cụ, dụng cụ VND",Phụ tùng thay thế VND,Chi phí sửa chữa lớn tài sản cố định VND,Lỗ chênh lệch tỷ giá chưa thực hiện VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Chi phí trước hoạt động VND,numeric__Chi phí đất trả trước VND,"numeric__Chi phí thuê văn phòng, nhà máy trả trước VND","numeric__Công cụ, dụng cụ VND",numeric__Phụ tùng thay thế VND,numeric__Chi phí sửa chữa lớn tài sản cố định VND,numeric__Lỗ chênh lệch tỷ giá chưa thực hiện VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,450.726.244,189.709.963.374,51.760.559.658,72.757.306.767,16.376.996.936,29.305.787.305,12.116.851.492,57.572.043.031,430.050.234.807,450726244.0,189709963374.0,51760559658.0,72757306767.0,16376996936.0,29305787305.0,12116851492.0,57572043031.0,430050234807.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,7.855.261.575,1.473.863.635,37.488.672.695,9.057.588.150,13.949.900.287,-,31.997.050.843,101.822.337.185,,7855261575.0,1473863635.0,37488672695.0,9057588150.0,13949900287.0,,31997050843.0,101822337185.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,29.577.366.825,-,9.959.015.393,-,10.844.580.370,50.380.962.588,,,,29577366825.0,,9959015393.0,,10844580370.0,50380962588.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,3.170.872.698,-,-,-,-,3.170.872.698,,,,3170872698.0,,,,,3170872698.0
Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,-,-,(116.328.920),(3.104.758.808),-,(77.538.731),-,(938.699.146),(4.237.325.605),,,-116328920.0,-3104758808.0,,-77538731.0,,-938699146.0,-4237325605.0
Phân bố trong năm,Phân bố trong năm,Phân bố trong năm,(450.726.244),(9.875.770.352),(32.504.824.826),(62.512.820.427),(10.582.268.765),(20.383.704.182),(3.029.212.872),(43.823.915.141),(183.163.242.809),-450726244.0,-9875770352.0,-32504824826.0,-62512820427.0,-10582268765.0,-20383704182.0,-3029212872.0,-43823915141.0,-183163242809.0
Phân loại lai,Phân loại lai,Phân loại lai,-,292.852.194,11.424.583.111,(644.217.895),78.448.758,1.344.859.614,-,(12.496.525.782),-,,292852194.0,11424583111.0,-644217895.0,78448758.0,1344859614.0,,-12496525782.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,187.982.306.791,32.037.852.658,76.732.421.855,14.930.765.079,34.098.319.686,9.087.638.620,43.154.534.175,398.023.838.864,,187982306791.0,32037852658.0,76732421855.0,14930765079.0,34098319686.0,9087638620.0,43154534175.0,398023838864.0
