row_label_raw,row_label_full,col_0,Giá trị ghi sốtại thời điểmmất quyền kiểm soátVND,numeric__Giá trị ghi sốtại thời điểmmất quyền kiểm soátVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,20.819.811.220,20819811220.0
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,400.000.000,400000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,27.648.136.497,27648136497.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,17.467.291.321,17467291321.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,474.421.785,474421785.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,98.975.182.868,98975182868.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,52.970.136,52970136.0
Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,4.682.979.826,4682979826.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,4.237.325.605,4237325605.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(73.233.789.026),-73233789026.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(25.075.166.232),-25075166232.0
Lợi ích của cổ đông không kiểm soát của công ty con cấp 2,Lợi ích của cổ đông không kiểm soát của công ty con cấp 2,Lợi ích của cổ đông không kiểm soát của công ty con cấp 2,(26.296.361.854),-26296361854.0
Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,50.152.802.146,50152802146.0
Lãi do thoái vốn đầu tư vào các công ty con,Lãi do thoái vốn đầu tư vào các công ty con,Lãi do thoái vốn đầu tư vào các công ty con,1.845.786.691,1845786691.0
Giá thanh lý,Giá thanh lý,Giá thanh lý,51.998.588.837,51998588837.0
Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,(20.954.588.837),-20954588837.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,31.044.000.000,31044000000.0
Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Khoản tiền giảm do thoái vốn đầu tư vào công ty con,(20.819.811.220),-20819811220.0
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,10.224.188.780,10224188780.0
