row_label_raw,row_label_full,Năm 2017,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,14.296.107.009.785,1.709.458.063.604,1.440.978.726.553,-,17.446.543.799.942,14296107009785.0,1709458063604.0,1440978726553.0,,17446543799942.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,3.044.536.895.422,247.992.459.143,78.468.354.487,(3.370.997.709.052),-,3044536895422.0,247992459143.0,78468354487.0,-3370997709052.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,17.340.643.905.207,1.957.450.522.747,1.519.447.081.040,(3.370.997.709.052),17.446.543.799.942,17340643905207.0,1957450522747.0,1519447081040.0,-3370997709052.0,17446543799942.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,520.773.120.080,16.619.837.518,7.699.668.315,-,545.092.625.913,520773120080.0,16619837518.0,7699668315.0,,545092625913.0
Lợi nhuận/(lỗ) thuần từ hoạt độngkinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt độngkinh doanh,Lợi nhuận/(lỗ) thuần từ hoạt độngkinh doanh,607.802.375.747,(35.648.869.837),76.216.930.212,(16.717.815.493),631.652.620.629,607802375747.0,-35648869837.0,76216930212.0,-16717815493.0,631652620629.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,165.723.160.704,619.742.760,10.943.558.378,(22.273.036.970),155.013.424.872,165723160704.0,619742760.0,10943558378.0,-22273036970.0,155013424872.0
Chi phí khác,Chi phí khác,Chi phí khác,(53.538.832.058),(4.815.252.367),(1.753.731.876),21.911.614.428,(38.196.201.873),-53538832058.0,-4815252367.0,-1753731876.0,21911614428.0,-38196201873.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(44.254.654.474),(495.315.269),(20.346.391.011),-,(65.096.360.754),-44254654474.0,-495315269.0,-20346391011.0,,-65096360754.0
(Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,(1.451.567.836),-,-,3.251.624.598,1.800.056.762,-1451567836.0,,,3251624598.0,1800056762.0
Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,674.280.482.083,(40.339.694.713),65.060.365.703,(13.827.613.437),685.173.539.636,674280482083.0,-40339694713.0,65060365703.0,-13827613437.0,685173539636.0
