row_label_raw,row_label_full,col_0,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,,
Tải sản của bộ phận,Tại ngày 31/12/2018 > Tải sản của bộ phận,Tải sản của bộ phận,23.867.489.518.961,290.604.031.400,2.219.906.416.495,(6.402.524.233.478),19.975.475.733.378,23867489518961.0,290604031400.0,2219906416495.0,-6402524233478.0,19975475733378.0
Khoản đầu tư vào công ty liên kết,Tại ngày 31/12/2018 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.473.703.117.650,412.560.000,307.875.000,444.961.406.650,1.919.384.959.300,1473703117650.0,412560000.0,307875000.0,444961406650.0,1919384959300.0
Tổng tài sản,Tại ngày 31/12/2018 > Tổng tài sản,Tổng tài sản,25.341.192.636.611,291.016.591.400,2.220.214.291.495,(5.957.562.826.828),21.894.860.692.678,25341192636611.0,291016591400.0,2220214291495.0,-5957562826828.0,21894860692678.0
Tổng nợ phải trả,Tại ngày 31/12/2018 > Tổng nợ phải trả,Tổng nợ phải trả,14.629.635.922.217,1.355.669.156.700,1.021.630.501.574,(3.108.173.833.525),13.898.761.746.966,14629635922217.0,1355669156700.0,1021630501574.0,-3108173833525.0,13898761746966.0
Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,,,,,
Chỉ tiêu vốn,Năm 2018 > Chỉ tiêu vốn,Chỉ tiêu vốn,1.222.609.288.542,1.273.104.546,113.767.312.417,(68.608.000.526),1.269.041.704.979,1222609288542.0,1273104546.0,113767312417.0,-68608000526.0,1269041704979.0
Khấu hao tài sản cố định hữu hình,Năm 2018 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,819.647.548.249,1.742.342.779,34.163.468.223,(2.877.724.793),852.675.634.458,819647548249.0,1742342779.0,34163468223.0,-2877724793.0,852675634458.0
Khấu hao tài sản cố định hữu hìnhthuế tài chính,Năm 2018 > Khấu hao tài sản cố định hữu hìnhthuế tài chính,Khấu hao tài sản cố định hữu hìnhthuế tài chính,3.696.927.763,-,-,-,3.696.927.763,3696927763.0,,,,3696927763.0
Khấu hao tài sản cố định vô hình,Năm 2018 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,5.201.694.482,-,31.987.547,198.478.743,5.432.160.772,5201694482.0,,31987547.0,198478743.0,5432160772.0
Khấu hao bất động sản đầu tư,Năm 2018 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,1.741.314.611,207.734.004,3.098.299.234,121.120.253,5.168.468.102,1741314611.0,207734004.0,3098299234.0,121120253.0,5168468102.0
