row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.314.192.507.950,8.359.806.984.347,322.967.926.530,93.816.516.276,145.850.658.984,12.236.634.594.087,3314192507950.0,8359806984347.0,322967926530.0,93816516276.0,145850658984.0,12236634594087.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,40.060.302.435,292.212.663.209,26.583.802.317,4.596.997.242,5.833.344.778,369.287.109.981,40060302435.0,292212663209.0,26583802317.0,4596997242.0,5833344778.0,369287109981.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,485.362.615.483,827.132.722.093,47.786.415.341,9.405.979.612,17.939.468.333,1.387.627.200.862,485362615483.0,827132722093.0,47786415341.0,9405979612.0,17939468333.0,1387627200862.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,9.934.553.636,-,-,-,9.934.553.636,,9934553636.0,,,,9934553636.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(334.927.346),(12.283.911.171),(42.000.000),(1.470.354.234),-,(14.131.192.751),-334927346.0,-12283911171.0,-42000000.0,-1470354234.0,,-14131192751.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(3.282.329.999),(154.663.722.474),(12.911.421.438),(8.429.155.531),(911.933.565),(180.198.563.007),-3282329999.0,-154663722474.0,-12911421438.0,-8429155531.0,-911933565.0,-180198563007.0
Giảm do thoái vốn đầu tư vào các công ty con,Nguyên giá > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,(79.139.828.235),(80.682.539.842),(8.804.878.494),(1.134.074.914),(3.337.396.959),(173.098.718.444),-79139828235.0,-80682539842.0,-8804878494.0,-1134074914.0,-3337396959.0,-173098718444.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(4.802.887.899),18.686.000.860,(12.512.009.731),1.153.422.417,(2.524.525.647),-,-4802887899.0,18686000860.0,-12512009731.0,1153422417.0,-2524525647.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.752.055.452.389,9.260.142.750.658,363.067.834.525,97.939.330.868,162.849.615.924,13.636.054.984.364,3752055452389.0,9260142750658.0,363067834525.0,97939330868.0,162849615924.0,13636054984364.0
