row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,146.230.989.485,17.683.114.671,1.685.828.911,165.599.933.067,146230989485.0,17683114671.0,1685828911.0,165599933067.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.641.795.200,1.202.261.451,315.832.689,5.159.889.340,3641795200.0,1202261451.0,315832689.0,5159889340.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,720.000.000,-,720.000.000,,720000000.0,,720000000.0
Giảm do thoái vốn đầu tư vào các công ty con,Nguyên giá > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,-,(839.481.904),-,(839.481.904),,-839481904.0,,-839481904.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(123.419.087),(442.866.173),-,(566.285.260),-123419087.0,-442866173.0,,-566285260.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,149.749.365.598,18.323.028.045,2.001.661.600,170.074.055.243,149749365598.0,18323028045.0,2001661600.0,170074055243.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,21.359.515.116,10.912.747.057,613.868.721,32.886.130.894,21359515116.0,10912747057.0,613868721.0,32886130894.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.769.378.116,2.493.735.868,169.046.788,5.432.160.772,2769378116.0,2493735868.0,169046788.0,5432160772.0
Giảm do thoái vốn đầu tư vào các công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,-,(464.079.782),-,(464.079.782),,-464079782.0,,-464079782.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(442.866.173),-,(442.866.173),,-442866173.0,,-442866173.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.128.893.232,12.499.536.970,782.915.509,37.411.345.711,24128893232.0,12499536970.0,782915509.0,37411345711.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,124.871.474.369,6.770.367.614,1.071.960.190,132.713.802.173,124871474369.0,6770367614.0,1071960190.0,132713802173.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,125.620.472.366,5.823.491.075,1.218.746.091,132.662.709.532,125620472366.0,5823491075.0,1218746091.0,132662709532.0
