row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,195.089.629.972,-,-,195.089.629.972,195089629972.0,,,195089629972.0
Phải thu khách hàng,Tại ngày 31/12/2017 > Phải thu khách hàng,Phải thu khách hàng,240.389.587.407,-,-,240.389.587.407,240389587407.0,,,240389587407.0
Phải thu về cho vay,Tại ngày 31/12/2017 > Phải thu về cho vay,Phải thu về cho vay,4.000.000.000,-,-,4.000.000.000,4000000000.0,,,4000000000.0
Phải thu khác,Tại ngày 31/12/2017 > Phải thu khác,Phải thu khác,349.328.592.153,103.366.385.000,-,452.694.977.153,349328592153.0,103366385000.0,,452694977153.0
Đầu tư tài chính,Tại ngày 31/12/2017 > Đầu tư tài chính,Đầu tư tài chính,-,-,1.157.578.303.175,1.157.578.303.175,,,1157578303175.0,1157578303175.0
Cộng,Tại ngày 31/12/2017 > Cộng,Cộng,788.807.809.532,103.366.385.000,1.157.578.303.175,2.049.752.497.707,788807809532.0,103366385000.0,1157578303175.0,2049752497707.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,94.923.320.849,-,-,94.923.320.849,94923320849.0,,,94923320849.0
Phải thu khách hàng,Tại ngày 01/01/2017 > Phải thu khách hàng,Phải thu khách hàng,345.922.239.411,-,-,345.922.239.411,345922239411.0,,,345922239411.0
Phải thu về cho vay,Tại ngày 01/01/2017 > Phải thu về cho vay,Phải thu về cho vay,3.000.000.000,1.825.000.000,-,4.825.000.000,3000000000.0,1825000000.0,,4825000000.0
Phải thu khác,Tại ngày 01/01/2017 > Phải thu khác,Phải thu khác,60.846.227.990,77.348.000.000,-,138.194.227.990,60846227990.0,77348000000.0,,138194227990.0
Đầu tư tài chính,Tại ngày 01/01/2017 > Đầu tư tài chính,Đầu tư tài chính,-,-,694.723.438.175,694.723.438.175,,,694723438175.0,694723438175.0
Cộng,Tại ngày 01/01/2017 > Cộng,Cộng,504.691.788.250,79.173.000.000,694.723.438.175,1.278.588.226.425,504691788250.0,79173000000.0,694723438175.0,1278588226425.0
