row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2017,Đơn vị tính: VND01/01/2017,numeric__Mã số,numeric__TM,numeric__31/12/2017,numeric__Đơn vị tính: VND01/01/2017
C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,300,,1.231.602.994.493,2.216.157.004.132,300.0,,1231602994493.0,2216157004132.0
I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,310,,1.211.855.704.493,1.768.814.859.700,310.0,,1211855704493.0,1768814859700.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,5.11,84.396.269.738,101.193.379.042,311.0,511.0,84396269738.0,101193379042.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,1.455.011.267,1.965.606.017,312.0,,1455011267.0,1965606017.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,5.15,67.391.864.138,30.050.307.126,313.0,515.0,67391864138.0,30050307126.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,3.929.590.657,1.278.852.542,314.0,,3929590657.0,1278852542.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,5.12,491.854.479.085,688.072.340.420,315.0,512.0,491854479085.0,688072340420.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,5.13,-,301.449.571.462,318.0,513.0,,301449571462.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,5.14,262.505.488.167,131.622.484.356,319.0,514.0,262505488167.0,131622484356.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,5.16,300.526.593.110,512.957.103.204,320.0,516.0,300526593110.0,512957103204.0
9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,322,,(203.591.669),225.215.531,322.0,,-203591669.0,225215531.0
II/ Nợ dài hạn,II/ Nợ dài hạn,II/ Nợ dài hạn,330,,19.747.290.000,447.342.144.432,330.0,,19747290000.0,447342144432.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,,19.747.290.000,387.918.636.432,337.0,,19747290000.0,387918636432.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,,-,59.423.508.000,338.0,,,59423508000.0
D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,400,,1.849.255.983.460,342.776.052.010,400.0,,1849255983460.0,342776052010.0
I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,410,5.17,1.849.255.983.460,342.776.052.010,410.0,517.0,1849255983460.0,342776052010.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.600.000.000.000,262.200.000.000,411.0,,1600000000000.0,262200000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.600.000.000.000,262.200.000.000,,,1600000000000.0,262200000000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,,15.177.859.740,15.177.859.740,418.0,,15177859740.0,15177859740.0
3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,420,,7.588.929.869,7.588.929.869,420.0,,7588929869.0,7588929869.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,226.489.193.851,57.809.262.401,421.0,,226489193851.0,57809262401.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,-,40.312.221.226,,,,40312221226.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,226.489.193.851,17.497.041.175,,,226489193851.0,17497041175.0
II/ Nguồn kinh phí và quỹ khác,II/ Nguồn kinh phí và quỹ khác,II/ Nguồn kinh phí và quỹ khác,430,,-,-,430.0,,,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,3.080.858.977.953,2.558.933.056.142,440.0,,3080858977953.0,2558933056142.0
