row_label_raw,row_label_full,col_0,"Phương tiện vântài, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",Tổng cộngVND,"numeric__Phương tiện vântài, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2017,NGUYÊN GIÁ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,13.984.404.026,752.837.567,14.737.241.593,13984404026.0,752837567.0,14737241593.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,1.366.741.818,92.000.000,1.458.741.818,1366741818.0,92000000.0,1458741818.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.975.803.000),-,(4.975.803.000),-4975803000.0,,-4975803000.0
Số dư tại 31/12/2017,NGUYÊN GIÁ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,10.375.342.844,844.837.567,11.220.180.411,10375342844.0,844837567.0,11220180411.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
Số dư tại 01/01/2017,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2017,Số dư tại 01/01/2017,3.428.725.167,752.837.567,4.181.562.734,3428725167.0,752837567.0,4181562734.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,1.979.316.641,5.111.112,1.984.427.753,1979316641.0,5111112.0,1984427753.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.895.349.667),-,(1.895.349.667),-1895349667.0,,-1895349667.0
Số dư tại 31/12/2017,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2017,Số dư tại 31/12/2017,3.512.692.141,757.948.679,4.270.640.820,3512692141.0,757948679.0,4270640820.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,
Số dư tại 01/01/2017,GIÁ TRỊ CÔN LẠI > Số dư tại 01/01/2017,Số dư tại 01/01/2017,10.555.678.859,-,10.555.678.859,10555678859.0,,10555678859.0
Số dư tại 31/12/2017,GIÁ TRỊ CÔN LẠI > Số dư tại 31/12/2017,Số dư tại 31/12/2017,6.862.650.703,86.888.888,6.949.539.591,6862650703.0,86888888.0,6949539591.0
